formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Pd,mp-1186427,0.0,0.015005062500001002,0.015005062500001002,4,60.266094791546784,11.72895427047706,P6_3/mmc,194,hexagonal,2.76256126,2.76256207829082,9.11839409,90.0,90.0,119.99997778036463,PdO2(s),Passivation,PdO2(s),Passivation
Pd,mp-2646997,0.0,0.022572985,0.022572985,2,31.06288454654526,11.377859464582517,P6_3/mmc,194,hexagonal,2.783665,2.7836650915383125,4.628893,90.0,90.0,119.99998702868588,PdO2(s),Passivation,PdO2(s),Passivation
Pd,mp-2,0.0,0.0,0.0,1,15.02799459406926,11.759025221988814,Fm-3m,225,cubic,2.769950055644841,2.7699513313738247,2.76995044,59.99999839495175,59.99998302183959,60.00000405433254,PdO2(s),Passivation,PdO2(s),Passivation
Pd,mp-2646977,0.0,0.044765070000000004,0.044765070000000004,1,15.547139314057057,11.366371902758614,Im-3m,229,cubic,2.7232705757752003,2.7232705757752003,2.7232705757752003,109.47122063449069,109.47122063449069,109.47122063449069,PdO2(s),Passivation,PdO2(s),Passivation
PdCl2,mp-1018888,1.0968,-0.5565528133333351,0.030114834999999004,6,177.23409283973956,3.322800323639406,P2/m,10,monoclinic,3.420218,4.37032,11.87522766793433,86.8379626306971,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
TiPd,mp-979261,0.0,-0.542537950833331,0.011486497500001,4,61.902064874951,8.277578186965673,P2_1/m,11,monoclinic,2.780784981541122,4.891135113275841,4.55758651,90.0,90.0,93.02821344703851,PdO2(s),Passivation,PdO2(s),Passivation
Bi2Pd,mp-568746,0.0,-0.198452750000001,0.0011861450000050001,6,153.6751590240831,11.332408044406208,P-1,2,triclinic,4.28550161847676,5.753219308296714,6.769094006851419,103.09244773911107,108.47785210993523,90.15034048618797,PdO2(s),Passivation,PdO2(s),Passivation
TiPd,mp-1056985,0.0,-0.527454493333333,0.026569954999999004,2,30.626853435023577,8.365194665265063,P4/mmm,123,tetragonal,2.81470904,2.81470904,3.86576424,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
CdPd,mp-1696,0.0,-0.39152519499999805,0.0,4,68.1446687236034,10.664881972117675,P4/mmm,123,tetragonal,3.69349435,4.2953368,4.2953368,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
ZnPd,mp-1652,0.0,-0.576280689999999,0.0,4,55.98591203161702,10.192877347918426,P4/mmm,123,tetragonal,3.34912441,4.08859166,4.08859166,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
FePd,mp-2831,0.0,-0.063690459999999,0.008477096666666,4,54.94172626057734,9.808478545574463,P4/mmm,123,tetragonal,3.73837417,3.83362622,3.83362622,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
MnPd,mp-238,0.0,-0.199720318965517,0.0022244234137920003,4,60.225614553056424,8.897919578609027,P4/mmm,123,tetragonal,3.3434771100000003,4.24415702,4.24415702,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
HgPd,mp-2685,0.0,-0.166715511250002,0.0,4,70.75520375405766,14.41030685485461,P4/mmm,123,tetragonal,3.77477032,4.32946195,4.32946195,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Cu3Pd,mp-672265,0.0,-0.099534913571428,0.0,28,346.36633493116415,9.96902571091,P4/mmm,123,tetragonal,3.683801080000277,3.6837970300002767,25.52371049000161,90.00002484535737,89.99996610809403,90.00003141797062,PdO2(s),Passivation,PdO2(s),Passivation
TaPd,mp-999133,0.0,-0.36691171366666,0.0,4,65.74443670151213,14.516379336931651,P4/nmm,129,tetragonal,3.28743175,3.28743175,6.08338802,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdO,mp-1336,0.0,-0.789826404999999,0.0,4,50.08427352138736,8.117605863761803,P4_2/mmc,131,tetragonal,3.05360411,3.05360411,5.37125679,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdSe,mp-571383,0.17830000000000001,-0.391119458489583,0.000839324791666,48,964.333367203312,7.661186290190641,P4_2/mbc,135,tetragonal,7.06127026,11.686247981191954,11.686090971191971,90.00163667634271,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdO2,mp-1018886,0.0,-0.7275267350000001,0.0,6,64.3430838656573,7.144507572307173,P4_2/mnm,136,tetragonal,4.522230460002831,4.522230460002831,3.14627363,90.0,90.0,90.00012821842978,PdO2(s),Passivation,PdO2(s),Passivation
PdF2,mp-1058,0.0,-1.343499204999998,0.035663009166666,6,84.88296551812975,5.6503621766039505,P4_2/mnm,136,tetragonal,3.42817199,4.97598395004921,4.97598395004921,90.00050963010065,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Hf2Pd,mp-11454,0.0,-0.531846506666667,0.0,3,57.448783781912525,13.394431575498581,I4/mmm,139,tetragonal,3.265958667712078,3.2659580705829065,5.860491061427534,106.18122097260567,106.18122024215285,90.02903926439397,PdO2(s),Passivation,PdO2(s),Passivation
Cd3Pd,mp-1183635,0.0,-0.19077580999999902,0.020566003189653,4,74.68916837035272,9.863587379381217,I4/mmm,139,tetragonal,5.2469320739392735,5.2469320739392735,5.2469320739392735,133.50406990437077,133.50406990437077,67.86363781757586,PdO2(s),Passivation,PdO2(s),Passivation
Na3Pd,mp-1186067,0.0,0.0056851175000000006,0.0056851175000000006,4,94.83955309693933,3.070879058598734,I4/mmm,139,tetragonal,5.379907868229901,5.379907868229901,5.379907868229901,127.59852370516774,127.59852370516774,77.27631232320344,PdO2(s),Passivation,PdO2(s),Passivation
Mg2Pd,mp-1185771,0.0,-0.504959116666666,0.006991393055555001,3,52.910784966235845,4.865423403929367,I4/mmm,139,tetragonal,5.536398622622289,5.536398622622289,5.536398622622289,145.97100521946422,145.97100521946422,48.889831836212274,PdO2(s),Passivation,PdO2(s),Passivation
PdPt3,mp-1186450,0.0,-0.035304807499997,0.0,4,60.90582437580428,18.857775738926414,I4/mmm,139,tetragonal,4.807290150888906,4.807290150888906,4.807290150888906,131.56557998949012,131.56557998949012,70.91601753121445,PdO2(s),Passivation,PdO2(s),Passivation
Zr4Pd,mp-1215363,0.0,-0.285047620000003,0.016882567999999,5,107.31547122267122,7.292877921485632,I4/mmm,139,tetragonal,10.152249417599235,10.152249417599235,10.152249417599235,161.31847111221782,161.31847111221782,26.53941810399454,PdO2(s),Passivation,PdO2(s),Passivation
Ti2Pd,mp-13164,0.0,-0.45329318444444505,0.0,3,47.8684990033714,7.0126413290254614,I4/mmm,139,tetragonal,3.1074323126544954,3.1074318278277255,5.422457078552923,106.65054851109777,106.6505357323878,89.99999613984467,PdO2(s),Passivation,PdO2(s),Passivation
Zr2Pd,mp-266,0.0,-0.503216980000004,0.0,3,60.14498900576465,7.9753377134150565,I4/mmm,139,tetragonal,3.332686621408513,3.3326875315648876,5.905694419033356,106.38907048659527,106.38907554176822,90.00002310529534,PdO2(s),Passivation,PdO2(s),Passivation
Bi2Pd,mp-570197,0.0,-0.14976592666666402,0.049872968333339006,3,75.9685234181935,11.462047240033977,I4/mmm,139,tetragonal,3.386678188820034,3.386679482149454,7.043093248195125,103.91164418678312,103.9116527662391,90.00000578988382,PdO2(s),Passivation,PdO2(s),Passivation
Zn3Pd,mp-865357,0.0,-0.364765307499999,0.0,4,55.66755768066966,9.02782855630473,I4/mmm,139,tetragonal,4.819767027545357,4.819767027545357,4.819767027545357,134.7198328354662,134.7198328354662,65.96582903908707,PdO2(s),Passivation,PdO2(s),Passivation
PdAu3,mp-973839,0.0,-0.096254770000001,0.0,4,67.45516266950835,17.165870921648242,I4/mmm,139,tetragonal,4.9444432187930065,4.9444432187930065,4.9444432187930065,130.94471726052961,130.94471726052961,71.9009264289508,PdO2(s),Passivation,PdO2(s),Passivation
Li3Pd,mp-976281,0.0,-0.275359101428572,0.0029711416071420004,4,59.454199529788504,3.5538611926903423,I4/mmm,139,tetragonal,4.711634412782468,4.711634412782468,4.711634412782468,130.28125356762465,130.28125356762465,72.95753344202141,PdO2(s),Passivation,PdO2(s),Passivation
Ag3Pd,mp-985296,0.0,-0.06677629124999701,0.0,4,66.5607268507526,10.728137772596519,I4/mmm,139,tetragonal,4.94386583095141,4.94386583095141,4.94386583095141,131.401209692826,131.401209692826,71.17641124777226,PdO2(s),Passivation,PdO2(s),Passivation
PdCl2,mp-1018891,0.8803000000000001,-0.5841705916666671,0.0024970566666670004,6,137.86791969208525,4.271577480556063,P2_1/c,14,monoclinic,5.642499279847767,3.97461697,6.450360138546547,90.0,107.62797284108379,90.0,PdO2(s),Passivation,PdO2(s),Passivation
BiPd,mp-1544359,0.0,-0.259240715624997,0.040217626875005005,16,343.2600626395924,12.206131567858261,P2_1/c,14,monoclinic,5.718191458939764,5.63338124019873,10.80945814,90.0,90.0,99.6650245846631,PdO2(s),Passivation,PdO2(s),Passivation
PdI2,mp-27747,0.9294000000000001,-0.503004289999998,0.0,12,409.99532760531173,5.835912631333681,P2_1/c,14,monoclinic,6.925966242747739,7.016120414349107,8.73474268,90.0,90.0,104.9962529228475,PdO2(s),Passivation,PdO2(s),Passivation
Th2Pd,mp-1148,0.0,-0.519100546666663,6.464916666715226e-05,6,159.77921596135062,11.858001541738368,I4/mcm,140,tetragonal,5.957452410656547,5.974350383220499,5.974350619227232,75.6060630535042,60.09352663655902,60.09352584076641,PdO2(s),Passivation,PdO2(s),Passivation
PdPb2,mp-20599,0.0,-0.20799519000000002,0.0,6,142.18832821338725,12.164739082784793,I4/mcm,140,tetragonal,5.72538481613306,5.728886440689723,5.725385036292638,105.39739254341137,105.36794675165483,117.97080566908419,PdO2(s),Passivation,PdO2(s),Passivation
Ga5Pd,mp-30660,0.0,-0.224303759166668,0.0038661147222230005,12,205.49900383986483,7.353839970524968,I4/mcm,140,tetragonal,6.4509586794329135,6.4509588082753995,6.722530016430285,118.67242642322972,118.67243016783044,90.00000593974234,PdO2(s),Passivation,PdO2(s),Passivation
Tl2Pd,mp-570896,0.0,-0.15898911666666501,0.0,6,135.64250924151426,12.613855061699198,C2/c,15,monoclinic,5.657728860224113,5.613187410437047,5.657729396317012,105.57982756930147,105.86622640685492,117.63210617605853,PdO2(s),Passivation,PdO2(s),Passivation
Sn2Pd,mp-1573,0.0,-0.327521249583336,0.007036855416668,24,526.449627349608,8.676381906230544,I4_1/acd,142,tetragonal,6.541371200489363,6.541370972508971,13.148120861577898,104.4379057650929,104.43779675652522,90.02688921979174,PdO2(s),Passivation,PdO2(s),Passivation
PdF3,mp-1524446,1.0487,-1.452075918750001,0.0,8,101.98757516599757,5.321380357867303,R-3,148,trigonal,5.528037335572969,5.527713129405199,5.526304470391078,53.754527539268636,53.774281435392716,53.74900077422692,PdO2(s),Passivation,PdO2(s),Passivation
PdCl2,mp-29487,1.5592000000000001,-0.5866676483333321,0.0,18,444.38834770947574,3.9756679315509373,R-3,148,trigonal,8.149152479260813,8.149151124102294,8.149152223370494,107.50127692974505,107.50126910068391,107.50126679768269,PdO2(s),Passivation,PdO2(s),Passivation
AlPd,mp-669546,0.0,-0.9276591973076921,0.007942607692307,26,372.6884621551497,7.726936450930941,R-3,148,trigonal,9.196922579121145,9.19692265117133,9.196923889150407,116.42589225251105,116.42590914650764,116.42588927812848,PdO2(s),Passivation,PdO2(s),Passivation
PdBr2,mp-27857,0.9792000000000001,-0.694771309999999,0.0,24,705.7037895605228,5.01153034644285,C2/c,15,monoclinic,4.11482591,6.599629698494344,26.0239151679611,86.93617249870161,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
P2Pd,mp-28266,0.34189999999999904,-0.42824703142857,0.0,6,100.96585044697865,5.538126998604,C2/c,15,monoclinic,4.521671755873227,4.521672646481259,5.808452284890729,106.26746372061699,111.90394944838175,99.26182709198547,PdO2(s),Passivation,PdO2(s),Passivation
Te2Pd,mp-782,0.0,-0.34445980000000503,0.0,3,75.0751094935122,7.998445041439257,P-3m1,164,trigonal,4.07008754,4.070088141656864,5.23308461,90.0,90.0,119.99999511002031,PdO2(s),Passivation,PdO2(s),Passivation
PdPt,mp-1219908,0.0,-0.04271062499999,0.0,2,30.23338412433502,16.559812446969275,R-3m,166,trigonal,2.7668025919890873,2.7668025919890873,4.832046442479952,106.6363852566294,73.3636147433706,119.99999983091743,PdO2(s),Passivation,PdO2(s),Passivation
PdAu,mp-1219920,0.0,-0.07237694500000201,0.006398906153840001,2,32.49705955080098,15.502487211764345,R-3m,166,trigonal,4.89708595187225,4.89708595187225,4.89708631256773,33.86439564977663,33.86439564977663,33.86438578556947,PdO2(s),Passivation,PdO2(s),Passivation
NiPd,mp-1220057,0.0,0.042641950000003,0.042641950000003,2,26.33595296459863,10.410758687475921,R-3m,166,trigonal,4.500240079934893,4.500240079934893,4.5002403953963235,34.68317376842349,34.68317376842349,34.683178957991174,PdO2(s),Passivation,PdO2(s),Passivation
CuPd,mp-1225701,0.0,-0.077466425,0.045885379999997006,2,26.816533944789327,10.524670472881013,R-3m,166,trigonal,4.499564882162507,4.499564882162507,4.499564624814204,35.0408962718748,35.0408962718748,35.04089297082619,PdO2(s),Passivation,PdO2(s),Passivation
AgPd,mp-1229012,0.0,-0.07259402249999801,0.0,2,32.004730100705125,11.118166798836851,R-3m,166,trigonal,2.823885632449069,2.82388563244907,4.912774554660166,73.2975174049199,90.0,120.00000000000001,PdO2(s),Passivation,PdO2(s),Passivation
PdF3,mp-13679,0.0,-1.4373722,0.014703718749999001,8,102.39976453505403,5.299960226461943,R-3c,167,trigonal,5.5246428713824525,5.5246428713824525,5.52464164432639,53.95660049414774,53.95660049414774,53.95659718916042,PdO2(s),Passivation,PdO2(s),Passivation
Mg3Pd,mp-18712,0.0,-0.398731526666665,0.0,24,459.8652694065521,3.885391569922302,P6_3cm,185,hexagonal,8.010390030523984,8.010390672330827,8.275360200001233,90.00003167992203,90.00002843453223,119.99869443556626,PdO2(s),Passivation,PdO2(s),Passivation
HPd,mp-1184548,0.0,-0.089348971874999,0.0,4,37.44134128600128,9.528947686554025,P6_3mc,186,hexagonal,2.9228613177535805,2.9228613177535805,5.06062745,90.0,90.0,120.00000447618619,PdO2(s),Passivation,PdO2(s),Passivation
AgPd,mp-1183222,0.0,-0.065638167499997,0.0069558550000010004,2,32.08898597207963,11.088973890324937,P-6m2,187,hexagonal,2.8140808407443427,2.8140808407443427,4.67899081,90.0,90.0,119.999992964454,PdO2(s),Passivation,PdO2(s),Passivation
Mg149Pd,mp-1185580,0.014100000000000001,-0.0042540893666660005,0.0063787513444440004,150,3410.382932793935,1.815123283659959,P-6m2,187,hexagonal,15.882326092873631,15.88233132,15.61148482,90.0,90.0,120.00001296986942,PdO2(s),Passivation,PdO2(s),Passivation
LiPd,mp-2744,0.0,-0.416655163333333,0.0,2,27.408308383984178,6.86800390931238,P-6m2,187,hexagonal,2.77622617,2.776226082156443,4.10621682,90.0,90.0,119.99998880579436,PdO2(s),Passivation,PdO2(s),Passivation
Mg5Pd,mp-1185816,0.0,-0.21639478249999902,0.049426235277777,6,115.49034094882265,3.277430600918107,P-62m,189,hexagonal,5.258942477347321,5.258942477347321,4.82189956,90.0,90.0,119.9999929216183,PdO2(s),Passivation,PdO2(s),Passivation
Li2Pd,mp-728,0.0,-0.35966722777777704,0.0,3,41.039217170862244,4.867689604273123,P6/mmm,191,hexagonal,4.20511615,4.205115934465797,2.67986227,90.0,90.0,120.00000177417496,PdO2(s),Passivation,PdO2(s),Passivation
BiPd,mp-1008488,0.0,-0.299458342500003,0.0,4,90.43155709596122,11.583007141312558,P6_3/mmc,194,hexagonal,4.28038814,4.28124528494219,5.69779915,90.0,90.0,119.9933773520169,PdO2(s),Passivation,PdO2(s),Passivation
BaPd,mp-1064367,0.0,-0.549201019999999,0.0,4,126.82358879038584,6.382904311839397,P6_3/mmc,194,hexagonal,5.156173338983545,5.156198549771812,5.508343553998239,89.99995253908908,89.99992847938864,59.997999777036526,PdO2(s),Passivation,PdO2(s),Passivation
Mg3Pd,mp-1079229,0.0,-0.375712600833334,0.023018925833331,8,154.50488527100302,3.854800746091356,P6_3/mmc,194,hexagonal,4.635057948577152,4.635057948576711,8.304725600001223,90.00000183113143,90.00005094026406,120.00549256956947,PdO2(s),Passivation,PdO2(s),Passivation
Ag3Pd,mp-1183206,0.0,-0.06175013499999601,0.005026156249999,8,133.3626391515351,10.708736006456256,P6_3/mmc,194,hexagonal,5.720329690000912,5.7203308114695,4.70610493,89.99999969424006,90.00000010016176,120.0000598121965,PdO2(s),Passivation,PdO2(s),Passivation
Cd3Pd,mp-1183648,0.0,-0.19044026624999802,0.020901546939655003,8,149.5668571989406,9.851154892348811,P6_3/mmc,194,hexagonal,5.979628571694048,5.979628571694048,4.8301019,90.0,90.0,119.9999939334643,PdO2(s),Passivation,PdO2(s),Passivation
PdAu3,mp-1186447,0.0,-0.084662152500001,0.011592617499999,8,135.2294707917901,17.12535897099531,P6_3/mmc,194,hexagonal,5.72616124017879,5.726185625067924,4.76219309,90.0,90.0,119.9989212153161,PdO2(s),Passivation,PdO2(s),Passivation
SbPd,mp-1769,0.0,-0.43195545749999903,0.0,4,82.58649054022462,9.17587856653722,P6_3/mmc,194,hexagonal,4.11157327,4.111572911268202,5.64108134,90.0,90.0,120.00000280572799,PdO2(s),Passivation,PdO2(s),Passivation
TePd,mp-564,0.0,-0.353706705,0.0,4,86.90821278938311,8.94275327712651,P6_3/mmc,194,hexagonal,4.18200749,4.182007742841707,5.73799994,90.0,90.0,119.99999792091882,PdO2(s),Passivation,PdO2(s),Passivation
Re3Pd,mp-862586,0.0,-0.057446953124994,0.0,8,117.38942253331511,18.81475413301948,P6_3/mmc,194,hexagonal,5.540334990000901,5.540341302557631,4.415967399999999,90.0,90.0,120.0000155878905,PdO2(s),Passivation,PdO2(s),Passivation
Tc3Pd,mp-861610,0.0,-0.08970053374999701,0.0,8,114.4778749655573,11.616446466149425,P6_3/mmc,194,hexagonal,5.49954363,5.499543594286011,4.37056571,90.0,90.0,120.00000628996588,PdO2(s),Passivation,PdO2(s),Passivation
GaPd,mp-1078526,0.0,-0.6626482787500011,0.0,8,117.88484654519537,9.92467959640551,P2_13,198,cubic,4.90327176,4.90327176,4.90327277,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
AlPd,mp-7189,0.0,-0.9356018049999991,0.0,8,115.2021736885745,7.691468287349427,P2_13,198,cubic,4.8657922,4.8657922,4.8657922,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdPb,mp-1210215,0.0,-0.267064972500001,0.0,32,671.0962341909492,12.416180822589165,P-1,2,triclinic,5.634721763817514,5.635962070830051,21.703007780221068,95.84983912830988,95.81791492586979,99.5984916231964,PdO2(s),Passivation,PdO2(s),Passivation
Sb2Pd,mp-1356,0.0,-0.346603599999999,0.0,12,277.3325943777336,8.38111426851684,Pa-3,205,cubic,6.52129187,6.52129187,6.52129187,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
As2Pd,mp-20465,0.0,-0.352124162499999,0.0,12,219.0136206185571,7.771846403526801,Pa-3,205,cubic,6.02777512,6.02777512,6.02777512,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdF2,mp-20284,0.0,-1.379162214166664,0.0,12,151.5315320784177,6.330292992133336,R-3,148,trigonal,5.331324103185239,5.331324104149672,5.331324104149552,89.89377943798073,90.10619819788023,89.89380180211847,PdO2(s),Passivation,PdO2(s),Passivation
Be5Pd,mp-650,0.0,-0.31534194249999903,0.0,6,53.35012297158457,4.714890142485599,F-43m,216,cubic,4.225552631292547,4.2255513051526545,4.22555212,60.00000144946778,60.00001183115119,60.0000065905212,PdO2(s),Passivation,PdO2(s),Passivation
CuPd,mp-1018029,0.0,-0.12335180499999801,0.0,2,26.474707465312033,10.660559077509308,Pm-3m,221,cubic,2.98041717,2.98041717,2.98041717,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
BePd,mp-11274,0.0,-0.5927108225000001,0.0,2,22.226847745235183,8.623789119848183,Pm-3m,221,cubic,2.81163727,2.81163727,2.81163727,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Cd3Pd,mp-1183621,0.0,-0.186669089999996,0.024672723189656003,4,74.53761620961883,9.883642326882205,Pm-3m,221,cubic,4.20847902,4.20847902,4.20847902,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
MnPd,mp-1902,0.0,-0.19259810896551702,0.009346633413791001,2,30.083860504773863,8.906481180837229,Pm-3m,221,cubic,3.11012508,3.11012508,3.11012508,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
CaPd,mp-213,0.0,-0.645455749999998,0.006872011666665001,2,43.08428098295106,5.646273922385516,Pm-3m,221,cubic,3.50568548,3.50568548,3.50568548,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
InPd,mp-21215,0.0,-0.549168179999998,0.011751512142858,2,35.026279147882796,10.488534636104994,Pm-3m,221,cubic,3.27188478,3.27188478,3.27188478,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
DyPd,mp-2226,0.0,-0.9281805374999971,0.0,2,42.31190990877697,10.553817276337163,Pm-3m,221,cubic,3.4846102500000002,3.4846102500000002,3.4846102500000002,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
LuPd,mp-2205,0.0,-1.01141381333333,0.0,2,39.63881825220542,11.787791032528503,Pm-3m,221,cubic,3.40962722,3.40962722,3.40962722,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
YbPd,mp-2547,0.0,-1.002640602500001,0.010346364999996001,2,40.155735664553895,11.556362743010682,Pm-3m,221,cubic,3.424384549639122,3.424384549639122,3.424384549639122,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
ScPd,mp-2781,0.0,-0.908621692499998,0.0,2,35.919566840721316,6.998013554362672,Pm-3m,221,cubic,3.299466299999999,3.299466299999999,3.299466299999999,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
LiPd,mp-2743,0.0,-0.395147368333333,0.021507794999999,2,25.92588083601494,7.260712579815165,Pm-3m,221,cubic,2.9596782900000003,2.9596782900000003,2.9596782900000003,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
TmPd,mp-348,0.0,-0.983058719999998,0.0,2,40.6888988834754,11.237375190889558,Pm-3m,221,cubic,3.43947359,3.43947359,3.43947359,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
MgPd,mp-506,0.0,-0.7267530875,0.0,2,31.416415216673595,6.9095715721912665,Pm-3m,221,cubic,3.15538393,3.15538393,3.15538393,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Cu3Pd,mp-580357,0.0,-0.095113082499999,0.004421831071429,4,49.508745279742634,9.963419821263283,Pm-3m,221,cubic,3.666153699999999,3.6748162300000002,3.6748162300000002,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
ErPd,mp-851,0.0,-0.960327171666666,0.0,2,41.17308240020961,11.037664530205484,Pm-3m,221,cubic,3.45306267,3.45306267,3.45306267,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
HoPd,mp-832,0.0,-0.945463422499997,0.028122391250001003,2,41.82620555902285,10.772858811172014,Pm-3m,221,cubic,3.47122546,3.47122546,3.47122546,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
AlPd,mp-829,0.0,-0.8978085199999991,0.037793284999999004,2,28.387292359827562,7.803437664358965,Pm-3m,221,cubic,3.05052548,3.05052548,3.05052548,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdAu3,mp-973834,0.0,-0.09164175499999701,0.004613015000003,4,67.4729562966753,17.161344024889296,Pm-3m,221,cubic,4.07108259,4.07108259,4.07108259,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
Ti3Pd,mp-1079796,0.0,-0.33954356749999803,0.000426320833335,8,129.38858423288556,6.417407539186576,Pm-3n,223,cubic,5.05784272,5.05784272,5.05784272,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
V3Pd,mp-1664,0.0,-0.15389148124999902,0.0,8,111.19745942128147,7.742724020703577,R-3c,167,trigonal,4.80838954493668,4.808395500503301,4.809467658043167,90.09980927351653,90.10020339718623,90.09871948319847,PdO2(s),Passivation,PdO2(s),Passivation
Li3Pd,mp-11489,0.0,-0.27081692499999904,0.007513318035715001,4,57.592753131433795,3.668724986443855,Fm-3m,225,cubic,4.334719405164782,4.334719085609618,4.3347185,59.99999664095779,59.99999899147419,60.00000142715134,PdO2(s),Passivation,PdO2(s),Passivation
Na3Pd,mp-1186074,0.0,0.0179869925,0.0179869925,4,91.40026139102875,3.186432873383882,Fm-3m,225,cubic,5.056160038517274,5.056160038517274,5.056160038517274,59.99999999999999,59.99999999999999,59.99999999999999,PdO2(s),Passivation,PdO2(s),Passivation
Al2Pd,mp-16522,0.0,-0.644575986666666,0.035680995740738006,3,51.3205034832721,5.189395022185069,Fm-3m,225,cubic,4.171273336668953,4.17127287750855,4.17127305,60.00000664175174,60.0000102830618,59.999993965288404,PdO2(s),Passivation,PdO2(s),Passivation
HPd,mp-24289,0.0,-0.056277304374999004,0.033071667499999,2,17.333256083186452,10.291678052769347,Fm-3m,225,cubic,2.9049040181353583,2.9049026927843173,2.90490373,59.99999969007996,60.00001478257751,59.99999482829525,PdO2(s),Passivation,PdO2(s),Passivation
Sc2Pd,mp-1190862,0.0,-0.659381418749999,0.0,24,484.4915289753894,5.383238207830808,Fd-3m,227,cubic,8.81590825580757,8.81590825580757,8.81590825580757,60.00000000000001,60.00000000000001,60.00000000000001,PdO2(s),Passivation,PdO2(s),Passivation
Mg2Pd,mp-18316,0.0,-0.5076209874999991,0.004329522222222,24,434.24837707625943,4.742601425078707,Fd-3m,227,cubic,8.499976228813546,8.499976827029789,8.49997709,59.99999901550469,59.99999668739995,60.00000241154183,PdO2(s),Passivation,PdO2(s),Passivation
Zn2Pd,mp-1215714,0.0,-0.437536906249997,0.0,24,336.9921415910341,9.351979906050886,Cmm2,35,orthorhombic,5.246012316007685,5.246012316007685,12.24747926,90.0,90.0,91.13721688005678,PdO2(s),Passivation,PdO2(s),Passivation
BiPd,mp-569727,0.0,-0.288759049375002,0.010699293125,16,351.6916111084157,11.913498514693098,Cmc2_1,36,orthorhombic,5.7652448871472926,5.7652448871472926,10.799368,90.0,90.0,101.54178363359674,PdO2(s),Passivation,PdO2(s),Passivation
BiPd,mp-23206,0.0,-0.29109879000000605,0.008359552499996,16,351.1362823266284,11.932339941654595,P2_1,4,monoclinic,10.852241,5.734309,5.750152611901097,78.89815892691833,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdF4,mp-13868,0.6178,-1.320648856999999,0.0,10,123.87576309118403,4.890463199182551,Fdd2,43,orthorhombic,5.415146998824153,5.415146658396813,5.509469337908147,105.93271602411896,105.93270404875292,116.19456822892523,PdO2(s),Passivation,PdO2(s),Passivation
TiPd,mp-980094,0.0,-0.541479458333334,0.012544989999998,4,61.84155868380736,8.285677024359922,Pmma,51,orthorhombic,4.57045186,2.77508999,4.8757813,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
PdI2,mp-569017,0.9488000000000001,-0.483525346666663,0.019478943333334,6,217.07337319564974,5.511263025804356,Pnnm,58,orthorhombic,3.88366776,7.00015237,7.98467037,90.0,90.0,90.0,PdO2(s),Passivation,PdO2(s),Passivation
