formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Rb,mp-656615,0.0,0.022942533749999,0.022942533749999,8,719.9109333297395,1.577113104032839,P1,1,triclinic,8.112322,8.331138646177063,12.01814372176835,108.37213441477193,107.90948906560462,94.36125796064898,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-639755,0.0,0.007387402500000001,0.007387402500000001,1,95.35172383207295,1.488411694436694,I4/mmm,139,tetragonal,5.461690390935667,4.991571845129539,4.99157231748663,72.58391070073658,56.832324891092675,56.83232564284591,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-975519,0.0,0.016627212499999003,0.016627212499999003,1,95.68113921348974,1.4832873229037211,I4/mmm,139,tetragonal,5.068257680000001,5.068257680000001,5.1689610888349256,119.35762315636357,119.35762315636357,89.99999999999999,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1525391,0.0,0.014380673749998001,0.014380673749998001,2,190.9089351332578,1.486809621951858,P-1,2,triclinic,5.142615105080565,5.1404343737294065,8.797518635859657,82.68175630784847,83.36339542379251,122.00921580596253,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1179656,0.0,0.0,0.0,8,722.1109726006154,1.572308148984186,C2/c,15,monoclinic,12.603399451270361,12.603399451270361,8.00665491634178,74.65132169218303,74.65132169218303,36.23979318525827,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-867126,0.0,0.024408722499999,0.024408722499999,3,283.05749233269677,1.504174501795672,R-3m,166,trigonal,5.075280028402475,5.075280028402475,13.022840996684973,101.23658885647092,78.76341114352908,120.00000740948367,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-604321,0.0,0.0022357275,0.0022357275,4,378.63976842865156,1.499289115090386,P6_3/mmc,194,hexagonal,5.08877888,5.088780675654371,16.88372588,90.0,90.0,120.00000268879614,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-975129,0.0,0.010023252500000001,0.010023252500000001,2,189.28163212073508,1.499592107762773,P6_3/mmc,194,hexagonal,5.08820802,5.088205931964842,8.44205798,90.0,90.0,120.00000645831079,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1949616,0.0,0.016102911249999,0.016102911249999,8,761.400182184665,1.491175065696892,P1,1,triclinic,10.052656417840067,10.069752592148316,10.708687306698957,57.91731825258465,58.09785443206065,64.16617902136899,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1186853,0.0,0.007491580499999001,0.007491580499999001,20,1944.8291077620252,1.459486802927072,P4_132,213,cubic,12.48227698,12.48227698,12.48227698,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1186899,0.0,0.039105244913793004,0.039105244913793004,29,2772.408624748723,1.4845416247496122,I-43m,217,cubic,15.328266551986948,15.328266551986948,15.328266551986948,109.47122063449069,109.47122063449069,109.47122063449069,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-974620,0.0,0.036396663749999,0.036396663749999,8,760.4253609279973,1.4930866657383222,Pm-3n,223,cubic,9.12750748,9.12750748,9.12750748,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-12628,0.0,0.015341202500000001,0.015341202500000001,1,96.44791983228296,1.471494886392057,Fm-3m,225,cubic,5.1475742657879175,5.1475742657879175,5.1475742657879175,60.00000000000001,60.00000000000001,60.00000000000001,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-70,0.0,0.0092124725,0.0092124725,8,755.5170492070519,1.502786691422087,P1,1,triclinic,8.21283751380523,8.181249819911544,12.682046338421454,109.33159568868584,108.69805448333973,90.40050683779462,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1949777,0.0,0.004658701249999,0.004658701249999,8,765.4605509277736,1.483265160189783,P1,1,triclinic,10.036989763829485,10.932901979218192,10.042757188919877,56.86061036890121,66.331891156211,57.00539481312746,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-975204,0.0,0.011841107500000001,0.011841107500000001,2,190.6119525916848,1.489126142476195,Cmcm,63,orthorhombic,5.118385051752147,5.118385051752147,8.4480028,90.0,90.0,120.54256655910866,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-1543931,0.0,0.00013048499999900002,0.00013048499999900002,8,758.2632298974502,1.497344090975367,P1,1,triclinic,7.983082406813747,13.146941538529644,13.173525260384286,35.38677243758567,72.04623912064771,72.34202486028737,RbO2(s),Passivation,RbO2(s),Passivation
Rb,mp-2204861,0.0,0.008728708750000001,0.008728708750000001,8,769.1251096835805,1.4761980234372292,C2/c,15,monoclinic,13.033930584934987,13.033930584934987,8.253847372662413,71.29155949503827,71.29155949503827,35.63190227756469,RbO2(s),Passivation,RbO2(s),Passivation
K3Rb,mp-1185119,0.0,0.037877297687500006,0.037877297687500006,4,327.22643112964454,1.028937006821125,I4/mmm,139,tetragonal,8.417850693898655,8.417850693898655,8.417850693898655,131.5427600334569,131.5427600334569,70.95215349315555,RbO2(s),Passivation,RbO2(s),Passivation
RbO2,mp-12105,0.0,-0.9722602958333331,0.0,3,57.73070741301644,3.3787543416919252,I4/mmm,139,tetragonal,4.08842972717002,4.08843110997035,4.504016974763859,116.99191547141658,116.99191685573706,90.0000059172118,RbO2(s),Passivation,RbO2(s),Passivation
RbIn4,mp-21477,0.0,-0.106576400833331,0.0,5,155.28890144231022,5.825024909252223,I4/mmm,139,tetragonal,4.938461214125059,4.93845975434015,7.262029341798221,109.8780646078392,109.87804948062548,89.99997912701444,RbO2(s),Passivation,RbO2(s),Passivation
RbBr3,mp-975411,0.0,-1.014657263125,0.0,4,131.3438616993125,4.111145770978965,I4/mmm,139,tetragonal,7.185908025256288,7.185908025256288,7.185908025256288,143.36227055744897,143.36227055744897,52.781996524488115,RbO2(s),Passivation,RbO2(s),Passivation
RbGa7,mp-1460,0.0,-0.103526246874999,0.0,16,360.2027268178768,5.287949853315503,R-3m,166,trigonal,10.215940195316866,10.21594057615399,10.21594012016182,37.84809680186926,37.848099053652064,37.84809271810144,RbO2(s),Passivation,RbO2(s),Passivation
RbMg149,mp-1187343,0.021300000000000003,0.017831276183333,0.017831276183333,150,3488.742028422173,1.7643819665461131,P-6m2,187,hexagonal,16.0296728025807,16.02967826,15.677933,90.0,90.0,120.0000095534509,RbO2(s),Passivation,RbO2(s),Passivation
RbAu5,mp-1209,0.0,-0.18988399791667002,0.0,6,131.94798403706125,13.469520182517382,P6/mmm,191,hexagonal,5.81821595,5.818215166472871,4.50082893,90.0,90.0,119.99999850019047,RbO2(s),Passivation,RbO2(s),Passivation
RbSn3,mp-867229,0.0,-0.12323864437500101,0.016086287812498,8,293.9367928244485,4.989442740926724,P6_3/mmc,194,hexagonal,7.88443896,7.884438843997837,5.4598629,90.0,90.0,120.00000048669547,RbO2(s),Passivation,RbO2(s),Passivation
RbTl3,mp-867797,0.0,-0.063524309375004,0.015386987999999002,8,307.2796854559981,7.550658493721743,P6_3/mmc,194,hexagonal,8.2632071,8.2632064976325,5.19644059,90.0,90.0,119.99999817870652,RbO2(s),Passivation,RbO2(s),Passivation
RbHg3,mp-975170,0.0,-0.21248978625000803,0.015551881111107,8,264.0056155773186,8.645158645195723,P6_3/mmc,194,hexagonal,7.42878092,7.428781815583618,5.52391976,90.0,90.0,119.9999960120424,RbO2(s),Passivation,RbO2(s),Passivation
K3Rb,mp-976115,0.0,0.037403925187500006,0.037403925187500006,8,647.3360104523334,1.040249203389831,P6_3/mmc,194,hexagonal,9.713826696586397,9.713826696586397,7.92169962,90.0,90.0,119.99998567395392,RbO2(s),Passivation,RbO2(s),Passivation
RbHg11,mp-11953,0.0,-0.087745580972233,0.0,36,1067.0917027933492,10.699789313146677,Pm-3m,221,cubic,10.21881604,10.21881604,10.21881604,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
K3Rb,mp-1185090,0.0,0.032119735187500005,0.032119735187500005,4,324.13247149767994,1.038758576219062,Fm-3m,225,cubic,7.710440311223145,7.710440311223145,7.710440311223145,59.99999999999999,59.99999999999999,59.99999999999999,RbO2(s),Passivation,RbO2(s),Passivation
RbCd13,mp-1040,0.0,-0.011099255535712001,0.0,28,671.4261437977223,7.650997167046901,Fm-3c,226,cubic,9.8288888792535,9.82888804550951,9.82888899,60.000000239907415,60.0000030847865,59.99999726853673,RbO2(s),Passivation,RbO2(s),Passivation
RbZn13,mp-2504,0.0,-0.04806109910714201,0.0,28,457.7340732169768,6.789563238801664,Fm-3c,226,cubic,8.650530924150216,8.65053100639878,8.6505301,59.999999565587586,59.99999925106808,59.99999756328133,RbO2(s),Passivation,RbO2(s),Passivation
RbBi2,mp-23253,0.0,-0.32316093916667105,0.0,6,221.37679149953786,7.552398351075477,Fd-3m,227,cubic,6.790195964452156,6.790196572010237,6.79019668,60.000009617269654,60.00000663413484,60.000007354463605,RbO2(s),Passivation,RbO2(s),Passivation
CsRb,mp-1225895,0.0,0.034480471422412,0.034480471422412,2,216.80441195872191,1.6725550582866942,Cmmm,65,orthorhombic,5.226655110097834,5.226655110097834,8.38994002,90.0,90.0,108.92647101948464,RbO2(s),Passivation,RbO2(s),Passivation
RbC8,mp-568643,0.0,-0.032283778055555004,0.0,18,238.56140065139675,2.527454253293858,Fddd,70,orthorhombic,4.953413660240677,4.953435663598282,11.497404344178145,96.17668768416475,96.19083510059617,120.00462005027248,RbO2(s),Passivation,RbO2(s),Passivation
RbHg2,mp-9827,0.0,-0.26556537750000303,0.0,6,210.78020724118343,7.667680890457467,Imma,74,orthorhombic,5.406624658130438,6.814597151960355,6.814597034050028,76.70822211728921,66.62829027298886,66.62830269856869,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-19617,0.0,-2.239767973653846,0.0019316111538440002,26,382.7159373450185,6.777098411545457,P2,3,monoclinic,7.531213036256709,7.550093137322082,7.780108000407707,89.99981086265669,89.999110366108,120.10419748032244,RbO2(s),Passivation,RbO2(s),Passivation
RbMnSe2,mp-29744,0.0,-0.9136949650296331,0.024256301562500002,4,115.55038897815884,4.287148875739331,I-4m2,119,tetragonal,7.6235703388122555,7.6235703388122555,7.6235703388122555,149.2420427811372,149.2420427811372,44.05515283709558,RbO2(s),Passivation,RbO2(s),Passivation
RbV5Se8,mp-1103598,0.0,-1.051392038303571,0.0,14,305.0397107248785,5.290470833772147,C2/m,12,monoclinic,3.707454,9.020668885919104,9.584683593721495,103.81402100663087,101.15157090986825,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbCr5Se8,mp-28818,0.015200000000000002,-0.9161661618749981,0.0,14,308.8300728600329,5.2538915663366,C2/m,12,monoclinic,3.6841171541052633,9.148024179630903,9.662212474732554,104.68097447197992,100.99045587696526,90.00000169512383,RbO2(s),Passivation,RbO2(s),Passivation
RbCr3S5,mp-616544,0.0,-1.110039205555554,0.0,18,354.9418605014718,3.759338004420893,C2/m,12,monoclinic,9.946923361789514,9.946923361789514,12.219309774518347,57.71759478857232,57.71759478857232,20.459252039600774,RbO2(s),Passivation,RbO2(s),Passivation
RbMn4O8,mp-752932,0.0,-1.9249455614788331,0.0,13,141.86102634490152,5.070953941113968,C2/m,12,monoclinic,7.149461726636343,7.064499225112261,7.149461726636343,91.67534197340039,156.31854702669747,93.20932540773475,RbO2(s),Passivation,RbO2(s),Passivation
RbV4O10,mp-753320,0.0,-2.359200614500001,0.040381067666670004,15,213.87573230875617,3.487821192475849,C2/m,12,monoclinic,6.1608373415425435,6.1608373415425435,9.939591445399051,79.69637710207162,79.69637710207162,35.251368524274326,RbO2(s),Passivation,RbO2(s),Passivation
RbTi5Se8,mp-975271,0.0,-1.480372705208331,0.0,14,311.37104687923414,5.100914397307373,C2/m,12,monoclinic,3.6659392,9.18739336878388,9.70739945738623,103.8583441413181,100.88403621591287,90.00000003819702,RbO2(s),Passivation,RbO2(s),Passivation
RbCr5Te8,mp-975531,0.0,-0.5625300714880931,0.0,14,390.3062977884911,5.812636613040922,C2/m,12,monoclinic,10.501512023809893,10.501512023809893,9.743197424826239,75.57037378829007,75.57037378829007,22.0583250872957,RbO2(s),Passivation,RbO2(s),Passivation
RbCu4S3,mp-1025519,0.0,-0.588894039999984,0.0,8,142.60586688638,5.075111243699609,P4/mmm,123,tetragonal,3.87508514,3.87508514,9.49674759,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbCu4Se3,mp-1078762,0.0,-0.534061025566406,0.00040933737723100003,8,161.12097916474158,5.941830679034983,P4/mmm,123,tetragonal,4.00914466,4.00914466,10.02417497,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbZn4As3,mp-975144,0.0,-0.29691188375,0.0,8,179.43601801032582,5.292193628634817,P4/mmm,123,tetragonal,4.15008941,4.15008941,10.4182486,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbGdTe4,mp-19914,0.032599999999999005,-1.229910009861109,0.0,12,437.13057927617353,5.721775542322533,P4/nbm,125,tetragonal,6.91652978,6.91652978,9.13765351,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbAg5Se3,mp-29685,0.0,-0.45448120031828804,0.000940866944439,18,412.45042223968807,6.938375322210973,P4/nbm,125,tetragonal,5.9959249,5.9959249,11.47253479,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbFeF4,mp-556927,0.0,-2.814337020416667,0.010466324166666001,12,184.04928525096753,3.921186516807831,P4/mbm,127,tetragonal,5.35122953,5.35122953,6.42727639,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbMnP,mp-21413,0.0,-0.38809726002463,0.022065745833333,6,208.22042257821815,2.733473778588179,P4/nmm,129,tetragonal,4.27361117,4.27361117,11.4007471,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
RbMnAs,mp-987178,0.0,-0.23877178264367802,0.039599679439655006,6,196.4027632060214,3.6410855804364832,P4/nmm,129,tetragonal,4.208337,4.208337,11.089873,90.0,90.0,90.0,RbO2(s),Passivation,RbO2(s),Passivation
Rb(AsRu)2,mp-1206129,0.0,-0.390420132500001,0.0,5,114.38202007539223,6.350687588350371,I4/mmm,139,tetragonal,7.468223834457221,7.468223834457221,7.468223834457221,148.3400904861933,148.3400904861933,45.38357355731931,RbO2(s),Passivation,RbO2(s),Passivation
Rb(PIr)2,mp-1206529,0.0,-0.6370826373571401,0.0,5,106.64126987324221,8.281564736584192,I4/mmm,139,tetragonal,7.405848712134587,7.405848712134587,7.405848712134587,149.1269781474957,149.1269781474957,44.22443425523743,RbO2(s),Passivation,RbO2(s),Passivation
Rb(PRu)2,mp-1206858,0.0,-0.6218137913571421,0.0,5,107.37232468603094,5.405957942489595,I4/mmm,139,tetragonal,7.194797620690478,7.194797620690478,7.194797620690478,147.4585712520299,147.4585712520299,46.6852691178533,RbO2(s),Passivation,RbO2(s),Passivation
Rb(AsRh)2,mp-1206926,0.0,-0.602035396499998,0.0,5,113.1305884798142,6.474821036287851,I4/mmm,139,tetragonal,7.571972259624387,7.571972259624387,7.571972259624387,149.2556018356191,149.2556018356191,44.03520854152269,RbO2(s),Passivation,RbO2(s),Passivation
Rb(PRh)2,mp-1207113,0.0,-0.728778243357142,0.0,5,105.46725108994211,5.561405121418255,I4/mmm,139,tetragonal,7.429070105711606,7.429070105711606,7.429070105711606,149.47732675554815,149.47732675554815,43.70917549012866,RbO2(s),Passivation,RbO2(s),Passivation
Rb(CoP)2,mp-1206941,0.0,-0.5650831233571421,0.0,5,92.45551914260592,4.764568452340335,I4/mmm,139,tetragonal,7.406361006183713,7.406361006183713,7.406361006183713,151.47487991352082,151.47487991352082,40.780652613418795,RbO2(s),Passivation,RbO2(s),Passivation
Rb(CoAs)2,mp-1207142,0.0,-0.37593397250000105,0.0,5,100.79246917976943,5.818538411722296,I4/mmm,139,tetragonal,7.6206367526135965,7.6206367526135965,7.6206367526135965,151.4627691232435,151.4627691232435,40.79836184243234,RbO2(s),Passivation,RbO2(s),Passivation
Rb(AsIr)2,mp-1207207,0.0,-0.45005214450000003,0.0,5,114.03781025550167,9.024294499554967,I4/mmm,139,tetragonal,7.5695684709364,7.5695684709364,7.5695684709364,149.1017629624314,149.10176296243134,44.261537765125766,RbO2(s),Passivation,RbO2(s),Passivation
Rb(CoS)2,mp-560663,0.0,-0.804153500499998,0.0,5,97.23869760284192,4.567468994962604,I4/mmm,139,tetragonal,3.7123756330339712,3.712375528384966,7.528124634166121,104.2744508589528,104.27444903503618,90.0000140652169,RbO2(s),Passivation,RbO2(s),Passivation
Rb(CoSe)2,mp-570091,0.0,-0.6473967884375,0.023748656083333,5,107.05721322785655,5.603328139984216,I4/mmm,139,tetragonal,3.91743,3.91743,7.505948810043538,105.12673701760056,105.12673701760056,90.0,RbO2(s),Passivation,RbO2(s),Passivation
Rb(FeAs)2,mp-975359,0.0,-0.264757954499994,0.0,5,102.0660493228451,5.645449397445186,I4/mmm,139,tetragonal,8.129109412360068,8.129109412360068,8.129109412360068,154.13879399996256,154.13879399996256,36.89790161027635,RbO2(s),Passivation,RbO2(s),Passivation
RbCuCl3,mp-1232302,0.0,-1.4847116834999992,0.000887255999999,10,243.80084804014547,3.478712353594448,I4/mcm,140,tetragonal,6.936351627585535,6.936351627585535,6.936351627585535,117.60990333182423,117.60990333182423,94.19215198372575,RbO2(s),Passivation,RbO2(s),Passivation
Rb(InAu2)2,mp-20804,0.0,-0.26451472226190403,0.0,14,332.4441256199408,11.018542722470125,I4/mcm,140,tetragonal,7.565183140356168,7.56564055335146,7.565183049249915,107.79897235114768,107.7934747956011,112.87319207715426,RbO2(s),Passivation,RbO2(s),Passivation
RbCuF3,mp-8858,0.0,-2.337212868500001,0.0,10,141.6246984801055,4.8308806611218085,I4/mcm,140,tetragonal,5.787292199146458,5.78540738503452,5.785407800605913,94.27056081482041,117.5560464894864,117.55605971748506,RbO2(s),Passivation,RbO2(s),Passivation
RbAgF3,mp-7767,0.0,-2.128560911833334,0.001153603999998,10,165.15016611284094,5.034021616981131,I4/mcm,140,tetragonal,6.152127493878694,6.152127444069665,6.1521275440225915,90.35099542903093,119.79756804418572,119.79755238209734,RbO2(s),Passivation,RbO2(s),Passivation
Rb(Nb3Se4)2,mp-1219672,0.0,-1.147805925750001,0.0,15,319.54315349286463,6.623518471447437,P-3,147,trigonal,3.516509990119929,10.24340962401552,10.243332862215608,119.99972487633951,89.9997086378177,90.00093495298213,RbO2(s),Passivation,RbO2(s),Passivation
Rb(Nb3Te4)2,mp-1219686,0.0,-0.7235936780555551,0.005557029291668,15,383.90899241739316,7.196103753090368,P-3,147,trigonal,3.7112380077393308,10.924035128601977,10.930470998312654,60.03587526716743,90.00662225423291,90.00628097434982,RbO2(s),Passivation,RbO2(s),Passivation
Rb(V3S4)2,mp-1219696,0.0,-1.180278967583333,0.010467520777782001,15,241.88810390305323,4.445965675926057,P-3,147,trigonal,3.2418139500469936,9.282041990962345,9.282554808534195,59.99651341185225,90.00013449244014,89.99985066197608,RbO2(s),Passivation,RbO2(s),Passivation
Rb(Ti3Se4)2,mp-1219673,0.0,-1.4706847744166751,0.0,15,313.4757490088736,5.320226794911292,P-1,2,triclinic,3.6588293303696346,9.932361481991844,9.920920063181233,119.6022481823887,90.013472368921,90.01223874082315,RbO2(s),Passivation,RbO2(s),Passivation
Rb(Nb3S4)2,mp-1219680,0.0,-1.3972792658333462,0.0,15,282.9913186383743,5.277660638301893,P-3,147,trigonal,3.4094071900183853,9.789944384543052,9.789958481796647,119.99942100378702,90.00006406864476,90.00030309507513,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WCl3)3,mp-571180,0.005,-1.379896580961541,0.015230314038457001,26,657.5947011071947,4.828454207213336,P-3,147,trigonal,9.469560193934088,9.469629362064511,8.46759525054358,89.99973453097725,90.0012420239046,119.99890484525821,RbO2(s),Passivation,RbO2(s),Passivation
RbMo6Se7,mp-17030,0.0,-0.8667896613504461,0.017082621428571,28,683.6029650374988,5.897015036833743,R-3,148,trigonal,10.024501968442372,10.024501968442372,10.024501815873595,58.240376469865545,58.240376469865545,58.240376916551305,RbO2(s),Passivation,RbO2(s),Passivation
RbOsO3,mp-998602,0.0,-1.610804351499998,0.0,10,160.14665193019954,6.7127204624474945,P-1,2,triclinic,5.4696566410783145,5.483280644365285,6.927613491198519,66.78673358407897,66.84335152219467,59.91492003800622,RbO2(s),Passivation,RbO2(s),Passivation
RbWCl6,mp-1209078,0.0,-1.6144147003124991,0.0,16,445.5547998599428,3.592925818600656,C2/c,15,monoclinic,6.716853676593162,6.717658108907165,12.13235365989357,79.62122674511248,79.62676277990742,56.2452995018718,RbO2(s),Passivation,RbO2(s),Passivation
RbFeS2,mp-5372,0.0,-1.008359178124999,0.0,8,210.71912335514455,3.237919652662237,C2/c,15,monoclinic,5.386128300168037,6.795552809027291,6.795541974730635,114.60790282867168,101.30621256253632,101.30616005241339,RbO2(s),Passivation,RbO2(s),Passivation
RbCuCl3,mp-568857,0.0,-1.4624409555,0.023157983999999,20,536.5859699252209,3.161144977429248,C2/c,15,monoclinic,6.992945,7.037086206139939,12.565442494125426,90.5377533588882,90.0,119.79272299375367,RbO2(s),Passivation,RbO2(s),Passivation
RbFeSe2,mp-7086,0.0,-0.8967297855468761,0.0,8,233.2177244388803,4.261149152394929,C2/c,15,monoclinic,7.039242483940622,7.039242483940622,5.613719623999769,78.6487523882485,78.6487523882485,115.55991695421616,RbO2(s),Passivation,RbO2(s),Passivation
RbTiS2,mp-16318,0.0,-1.520087966458333,0.0,4,89.00281660073458,3.684130763516189,R3m,160,trigonal,7.9159439901975865,7.9159442504369055,7.915945060052748,26.813341124076622,26.813334625055077,26.81334217918289,RbO2(s),Passivation,RbO2(s),Passivation
RbInBr3,mp-998800,0.0,-1.4893764038333321,0.0348615715,10,374.0773742733569,3.9063230570269303,R3c,161,trigonal,8.082918590525207,8.082918590525207,8.082919166915936,60.07849157123284,60.07849157123284,60.07848939596799,RbO2(s),Passivation,RbO2(s),Passivation
RbInCl3,mp-998753,0.0,-1.736557945833332,0.032470698,10,322.54165228910443,3.15739481307881,R3c,161,trigonal,7.696961766980137,7.696961766980137,7.696961225510039,60.01451065381689,60.01451065381689,60.014511788491276,RbO2(s),Passivation,RbO2(s),Passivation
RbTlBr3,mp-998606,0.0,-1.390429809166668,0.026511177749999,10,393.9524168152756,4.464296591393343,R3c,161,trigonal,8.227679173770024,8.227679173770024,8.227679051741445,60.01287335284152,60.01287335284152,60.01287279723382,RbO2(s),Passivation,RbO2(s),Passivation
RbCeSe2,mp-10777,0.0478,-1.920673315546873,0.0,4,134.31111379606298,4.741402435665155,R-3m,166,trigonal,8.329798973709423,8.329798973709423,8.329799237427999,30.79031876299843,30.79031876299843,30.790327413936616,RbO2(s),Passivation,RbO2(s),Passivation
RbCd4As3,mp-1086664,0.0,-0.21981923124999903,0.0,8,226.37705122606567,5.573907660963002,R-3m,166,trigonal,4.5779256794501375,4.5779256794501375,12.749774844326625,79.65763942996048,79.65763942996048,60.00000463253666,RbO2(s),Passivation,RbO2(s),Passivation
RbEuO2,mp-20277,0.0,-2.531090263125001,0.047080724999998005,4,72.27393854529775,6.1903370155629425,R-3m,166,trigonal,6.781334022413081,6.781334022413081,6.781334056302319,30.745450788964543,30.745450788964543,30.745458405437816,RbO2(s),Passivation,RbO2(s),Passivation
RbEuS2,mp-20584,0.0,-1.766576756875002,0.008869452916663,4,117.36373096099217,4.266694197551119,R-3m,166,trigonal,7.954749720325302,7.954749720325302,7.954750443157054,30.845782048225416,30.845782048225416,30.845774050588545,RbO2(s),Passivation,RbO2(s),Passivation
RbCeS2,mp-3535,0.0339,-2.028158233124998,0.0,4,120.48559327320653,3.992851509991455,R-3m,166,trigonal,8.031172120051101,8.031172120051101,8.03117237824398,30.80526887573978,30.80526887573978,30.805259307337057,RbO2(s),Passivation,RbO2(s),Passivation
RbCeTe2,mp-4240,0.0,-1.5696825052083332,0.0,4,162.98941964890184,4.898233788476343,R-3m,166,trigonal,8.91125192776241,8.91125192776241,8.911251424674209,30.64265151484697,30.64265151484697,30.642643173262616,RbO2(s),Passivation,RbO2(s),Passivation
RbYbO2,mp-7479,0.0,-3.061658408437502,0.0,4,64.76033539582295,7.448966338062761,R-3m,166,trigonal,6.771659195065551,6.771659195065551,6.771658827282036,29.04967979410748,29.04967979410748,29.049676321730576,RbO2(s),Passivation,RbO2(s),Passivation
RbYbS2,mp-9369,0.0,-2.13238945546875,0.0,4,105.08223228693248,5.098413495813231,R-3m,166,trigonal,7.973285033837478,7.973285033837478,7.9732854283638455,28.956488764434962,28.956488764434962,28.95648927472435,RbO2(s),Passivation,RbO2(s),Passivation
Rb(Zr3Te4)4,mp-1006574,0.0,-1.193165686005747,0.0,58,1719.88648203975,6.221167995460167,P-6,174,hexagonal,11.188522621112496,11.188522621112496,15.864401,90.0,90.0,120.00000367273438,RbO2(s),Passivation,RbO2(s),Passivation
Rb(MoSe)3,mp-1103685,0.0,-0.9177317542187501,0.0,14,345.1628074257609,5.870895978845,P6_3/m,176,hexagonal,9.416730101819049,9.416730101030698,4.49462114,90.0,90.0,119.99999431916385,RbO2(s),Passivation,RbO2(s),Passivation
Rb(MoS)3,mp-8117,0.0,-1.020204569285711,0.0,14,316.87821729159435,4.9204677882882955,P6_3/m,176,hexagonal,9.091268010269982,9.091269015218835,4.42703349,90.0,90.0,120.00000521756526,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-566332,0.0,-2.235912777115385,0.005786807692304,26,363.23460934615025,7.140573899945596,P3,143,trigonal,7.407398050003052,7.407403592573743,7.644074440003155,90.00007712903663,89.99990117392196,120.00000189124289,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-558328,0.0,-2.224482622115384,0.017216962692307002,26,374.12579627681464,6.932704445578998,P3,143,trigonal,7.491812,7.49181242229382,7.696854,90.0,90.0,119.99999813538219,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-1193715,0.0,-2.2346968028846153,0.007002781923075001,26,379.3128081078634,6.8379013722006885,P6_3mc,186,hexagonal,7.521533550161829,7.521533550161829,7.742016,90.0,90.0,119.99999604321992,RbO2(s),Passivation,RbO2(s),Passivation
RbU3F10,mp-1209699,0.0,-3.616103860714285,0.04450670892858,56,908.8617060732777,7.231760031820306,P6_3mc,186,hexagonal,8.632441074482351,8.632441074482351,14.083153,90.0,90.0,119.99999290678554,RbO2(s),Passivation,RbO2(s),Passivation
Rb(In3Au2)2,mp-568168,0.0,-0.247203897045451,0.0,11,260.35050144828654,9.964121383494108,P-6m2,187,hexagonal,8.189187948609321,8.189189851955186,4.48276557,90.0,90.0,120.00000436487582,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-565431,0.0,-2.237899200192307,0.003800384615383,26,363.4064950158128,7.137196518574045,P6/mmm,191,hexagonal,7.408745468956989,7.408745468956989,7.64549696,90.0,90.0,120.00754321446647,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)4,mp-706249,0.0,-2.234417720702614,0.0015296826797390002,153,2274.1862478909184,6.6557669046907755,P-31m,162,trigonal,7.5158723,7.515872820523587,46.4875429,90.0,90.0,120.00000227458675,RbO2(s),Passivation,RbO2(s),Passivation
Rb(WO3)3,mp-18539,0.0,-2.224803484423077,0.016896100384613002,26,374.1703231763687,6.931879442056896,P6_3cm,185,hexagonal,7.490994,7.490993910282533,7.699452,90.0,90.0,120.0000003961864,RbO2(s),Passivation,RbO2(s),Passivation
