formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Ir,mp-101,0.0,0.0,0.0,1,14.310382775109328,22.30435361378471,Fm-3m,225,cubic,2.7251400874857388,2.725138988319178,2.72513948,59.999994031617746,60.000007374103745,60.000005660266766,IrO4[-2],Passivation,IrO4[-2],Passivation
HfIr,mp-1007786,0.0,-0.9479872649999981,0.0,4,72.26040876260622,17.03764111781878,P2_1/m,11,monoclinic,4.482867,3.169103,5.354668246244392,71.78588461155215,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
HfIr,mp-1524302,0.0,-1.061796515000004,0.0,4,70.16125421498333,17.547390298237485,P2_1/m,11,monoclinic,3.0885787527631567,4.52680855,5.084376009268229,90.0,99.25540783681565,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrI3,mp-1025442,1.3846999999999992,-0.44096969,0.0,8,279.59275108808504,6.80542198998877,C2/m,12,monoclinic,6.886004294896675,6.89416374117054,7.111068491211283,81.57081108968909,72.92721026128201,60.04214533854896,IrO4[-2],Passivation,IrO4[-2],Passivation
VIr,mp-1178810,0.0,-0.5927182118750021,0.015865685625001,32,445.8882965472265,14.488801495890893,C2/m,12,monoclinic,8.659665229431736,8.659665229431736,6.642022547429736,71.37945859913293,71.37945859913293,80.01859669268092,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-1551,0.0,-0.363477538888894,0.0030421406944390003,9,218.24387801686484,10.212704443011596,C2/m,12,monoclinic,4.027404808603864,5.405597446135691,10.225201501737324,90.36961337856798,101.35779703546817,90.00000709180429,IrO4[-2],Passivation,IrO4[-2],Passivation
IrBr3,mp-27397,1.5604,-0.708474681249999,0.0,8,220.1187053301764,6.516801717706128,C2/m,12,monoclinic,6.409039950880566,6.407643363489992,6.517713843649199,80.98662968229642,71.7440802252183,59.9927982432647,IrO4[-2],Passivation,IrO4[-2],Passivation
IrCl3,mp-27666,1.897,-0.623958485624999,0.0008085243749990001,8,185.92722145093515,5.333238548718901,C2/m,12,monoclinic,6.082058021886779,6.08205825712344,6.116705334509963,99.06912043496033,99.06911331081204,120.01494917480694,IrO4[-2],Passivation,IrO4[-2],Passivation
Zr3Ir,mp-30748,0.0,-0.5994195562500011,0.0,16,332.846482633143,9.29710152354993,I-42m,121,tetragonal,5.738232723383525,8.139777918146839,8.13977808965642,82.84758397119006,69.33584128823018,69.33582675281127,IrO4[-2],Passivation,IrO4[-2],Passivation
HfIr,mp-1206659,0.0,-0.9101728724999981,0.037814392499999,4,70.13237832560701,17.5546151566152,P4/mmm,123,tetragonal,3.634141999999999,4.395052,4.390891,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
NbIr,mp-1359,0.0,-0.519617979999999,0.0,4,64.18837172094261,14.752158330153208,P4/mmm,123,tetragonal,3.87415123,4.07042629,4.07042629,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
VIr,mp-1281,0.0,-0.5805010675000021,0.028082830000002,4,54.825325174740684,14.729477201965938,P4/mmm,123,tetragonal,3.63272957,3.88484838,3.88484838,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
TiIr,mp-1235,0.0,-0.8576200016666671,0.0,4,59.67074988004432,13.36228762222816,P4/mmm,123,tetragonal,3.48078158,4.14040059,4.14040059,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
MnIr,mp-2728,0.0,-0.15773197896551602,0.0,2,25.98569048909078,15.79371569526229,P4/mmm,123,tetragonal,2.6629490000000002,2.6629490000000002,3.664448,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Ga3Ir,mp-1189634,0.0,-0.388645419374999,0.022756848625000003,16,281.19564591089505,9.481187116211787,P4_2/mnm,136,tetragonal,6.52093372,6.52093372,6.6128553,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrO2,mp-2723,0.0,-1.260892841666664,0.0,6,64.48031649722306,11.548302349446649,P4_2/mnm,136,tetragonal,3.17670624,4.50531387,4.50531387,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
In3Ir,mp-630976,0.0,-0.271095426249999,0.004296428125002001,16,360.98036857763196,9.874921064796201,P4_2/mnm,136,tetragonal,7.0471395700014705,7.047136520003369,7.268721450002882,90.0000986442575,90.00003290766139,90.00005780685346,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRh3,mp-1184794,0.0,-0.019203882500001,0.0,4,55.547583101838846,14.974902598257863,I4/mmm,139,tetragonal,4.67547639452329,4.67547639452329,4.67547639452329,131.8633978276657,131.8633978276657,70.44486091021648,IrO4[-2],Passivation,IrO4[-2],Passivation
Zn3Ir,mp-865362,0.0,-0.265185383750001,0.0,4,54.552804451862926,11.823891432667555,I4/mmm,139,tetragonal,4.784884134401034,4.784884134401034,4.784884134401034,134.67247435119614,134.67247435119614,66.03952854093453,IrO4[-2],Passivation,IrO4[-2],Passivation
Be3Ir,mp-862714,0.0,-0.461441378749999,0.0,4,38.60719409341599,9.430342897819388,I4/mmm,139,tetragonal,4.2975649020887925,4.2975649020887925,4.2975649020887925,135.37490907600917,135.37490907600917,64.94823044395135,IrO4[-2],Passivation,IrO4[-2],Passivation
Re3Ir,mp-974430,0.0,-0.09152194687499801,0.013329980000001001,4,58.53389378165335,21.300408210304333,I4/mmm,139,tetragonal,4.754352564864274,4.754352564864274,4.754352564864274,131.7890532481035,131.7890532481035,70.5623990750878,IrO4[-2],Passivation,IrO4[-2],Passivation
P2Ir,mp-10155,0.6331,-0.8183616969841261,0.0,12,183.4509259235919,9.202463695856821,P2_1/c,14,monoclinic,5.772335097540224,5.80673151,5.8724596394772,90.0,111.2510151819972,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Bi2Ir,mp-1101783,0.0,-0.077140283333335,0.0,12,300.6365088474165,13.481051630842188,P2_1/c,14,monoclinic,6.84486957,6.936547490536547,7.0215650719818345,115.60733466674228,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Sb2Ir,mp-1247,0.5099,-0.45282265916666603,0.0,12,268.6611816641244,10.772800250207554,P2_1/c,14,monoclinic,6.59216251,6.652453789962261,6.747318671340737,114.77585368267206,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
As2Ir,mp-15649,0.8155000000000001,-0.571072849166668,0.0,12,212.13472096243024,10.710256626582213,P2_1/c,14,monoclinic,6.093720307859484,6.09813098,6.194007179814263,90.0,112.83313667352651,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
UIr,mp-2236,0.0,-0.496806767499997,0.000157544999998,16,328.7835040494194,17.383843970285813,P2_1/c,14,monoclinic,10.560154,5.594366,5.640734741440782,80.61943196097413,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Zr2Ir,mp-1077297,0.0,-0.7615805800000001,0.01065401472222,6,122.45824094861669,10.16094734937015,I4/mcm,140,tetragonal,5.433986300224059,5.433986300224059,5.433986300224059,106.51053059723421,106.51053059723421,115.57021463265626,IrO4[-2],Passivation,IrO4[-2],Passivation
Eu4Ir,mp-623108,0.0,-0.321069992999997,0.0,10,351.97489372136124,7.5491320337387595,I4_1/amd,141,tetragonal,7.71318819562173,7.713180776397124,7.713240367303172,107.52368978530822,107.52199312622739,113.44101917921307,IrO4[-2],Passivation,IrO4[-2],Passivation
Sn4Ir,mp-31277,0.0,-0.159459893500002,0.027021374500002002,20,464.33652331934474,9.541995105021705,I4_1/acd,142,tetragonal,6.305650287516198,6.305650455708691,12.500367871682643,104.60883776437318,104.60884098613833,90.00000313318382,IrO4[-2],Passivation,IrO4[-2],Passivation
Ge4Ir,mp-489,0.0,-0.136604680000001,0.033728514499998,15,262.57792140311915,9.159224789412457,P3_121,152,trigonal,6.234727760005301,6.234728313568871,7.7999627799999995,90.0,90.0,119.99999632850039,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-2285,0.0,-0.32818080666666505,0.038338872916661,3,74.90085839335651,9.9191574502285,P-3m1,164,trigonal,3.96318417,3.96318248760864,5.50640135,90.0,90.0,120.0000056122896,IrO4[-2],Passivation,IrO4[-2],Passivation
Bi4Ir,mp-1194918,0.0,-0.006417381333327,0.039866788666671,45,1500.7417016360057,10.238523247447974,R-3m,166,trigonal,7.55545284,15.352565350184038,15.352564583562483,117.36354362233872,99.4416541854356,99.44165377533149,IrO4[-2],Passivation,IrO4[-2],Passivation
NiIr,mp-1220071,0.0,0.035063555,0.035063555,2,25.239141549861785,16.507951373588387,R-3m,166,trigonal,4.390565494316742,4.390565494316742,4.390566237666826,35.29343872183604,35.29343872183604,35.29343046139298,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRh,mp-1223919,0.0,-0.024315764999997002,0.0,2,28.075372322770317,17.455242803145197,R-3m,166,trigonal,2.708850170812703,2.7088508920617143,4.686640507865788,73.20209581114304,89.99999991369822,120.00000880769049,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRu,mp-1223860,0.0,-0.018448662499999,0.036133686666666005,2,27.864586333813506,17.47790243112007,R-3m,166,trigonal,4.691574751374811,4.691574751374811,4.691573953381932,33.39923044074379,33.39923044074379,33.399219443571035,IrO4[-2],Passivation,IrO4[-2],Passivation
CoIr,mp-1226027,0.0,0.042557062500002005,0.042557062500002005,2,25.2986416281192,16.48486572963533,R-3m,166,trigonal,4.436597943428388,4.436597943428388,4.4365981938483,34.73201739288608,34.73201739288608,34.73201967076598,IrO4[-2],Passivation,IrO4[-2],Passivation
IrF3,mp-2437,1.141099999999999,-1.485668521250001,0.0,8,97.35761479811586,8.501165743894461,R-3c,167,trigonal,5.394119479381798,5.394120008304303,5.394119789988916,54.73001630738653,54.7300140046085,54.73001047339662,IrO4[-2],Passivation,IrO4[-2],Passivation
Mg3Ir,mp-568419,0.0,-0.321415998333331,0.0,24,436.99642116487087,6.044837291329051,P6_3cm,185,hexagonal,7.858115710007769,7.858115911768355,8.17167559,90.0,90.0,120.00016420659658,IrO4[-2],Passivation,IrO4[-2],Passivation
BIr,mp-1183252,0.0,-0.21504744125000003,0.0,2,21.663818158451388,15.562165595548212,P-6m2,187,hexagonal,3.042094010816432,3.0421221474844655,2.7029723100256255,89.99974358391917,90.0002521116977,119.9969162687964,IrO4[-2],Passivation,IrO4[-2],Passivation
ZnIr,mp-1206819,0.0,-0.216662947499997,0.0,2,27.812178216360255,15.381680436674438,P-6m2,187,hexagonal,2.7771790595766355,2.7771790595766355,4.16386207,90.0,90.0,119.99993757484202,IrO4[-2],Passivation,IrO4[-2],Passivation
TcIr,mp-1217409,0.0,-0.236691475,0.026342145416663004,2,28.31647062290996,17.01895242204191,P-6m2,187,hexagonal,2.739905641953927,2.7399348100000003,4.35546058,90.0,90.0,59.99967232102767,IrO4[-2],Passivation,IrO4[-2],Passivation
ReIr,mp-1219533,0.0,-0.20246073124999903,0.0,2,28.871569525453598,21.764935057827124,P-6m2,187,hexagonal,2.7537213327807195,2.7537237100001817,4.39642272,90.0,90.0,59.9999921296105,IrO4[-2],Passivation,IrO4[-2],Passivation
IrOs,mp-1223655,0.0,0.038359514999996,0.038359514999996,2,28.42846207588583,22.339167792782597,P-6m2,187,hexagonal,2.743621481464256,2.743621481464256,4.36088301,90.0,90.0,120.0000207732786,IrO4[-2],Passivation,IrO4[-2],Passivation
CoIr,mp-1226007,0.0,0.024336602500000002,0.024336602500000002,2,25.41628550002188,16.408562548659948,P-6m2,187,hexagonal,2.6746398389383197,2.6746398389383197,4.102521,90.0,90.0,119.99999601600373,IrO4[-2],Passivation,IrO4[-2],Passivation
LiIr,mp-279,0.0,-0.28409317833333203,0.0,2,26.54845246772127,12.45683302362025,P-6m2,187,hexagonal,2.65308270009014,2.6530829574001316,4.3551475,90.0,90.0,119.99906465372517,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRu,mp-974421,0.0,-0.037187652500001,0.017394696666663,2,27.847279830247277,17.48876458292083,P-6m2,187,hexagonal,2.7249116791415413,2.724910488816238,4.330697644581265,89.972150118392,90.02784866340318,120.00235785227298,IrO4[-2],Passivation,IrO4[-2],Passivation
SnIr,mp-20033,0.0,-0.274733545000003,0.0,4,77.95965133237802,13.24547818100123,P6_3/mmc,194,hexagonal,3.9940875,3.994087135175839,5.64292393,90.0,90.0,120.00001130371496,IrO4[-2],Passivation,IrO4[-2],Passivation
Al3Ir,mp-2294,0.0,-0.7665281825000001,0.0,8,122.23527791463933,7.421679604610374,P6_3/mmc,194,hexagonal,4.27012569,4.270125644961653,7.7407781700000005,90.0,90.0,120.00000042637011,IrO4[-2],Passivation,IrO4[-2],Passivation
Mg3Ir,mp-30739,0.0,-0.306952187916664,0.014463810416667002,8,146.23499146375588,6.021295442341642,P6_3/mmc,194,hexagonal,4.54296733,4.542968563128621,8.18165857,90.0,90.0,120.00000565680762,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRu3,mp-862620,0.0,-0.064791034999998,0.0,8,109.7843388948233,14.987126514221417,P6_3/mmc,194,hexagonal,5.424604600000296,5.42459635893827,4.30798914,90.0,90.0,120.00008147935019,IrO4[-2],Passivation,IrO4[-2],Passivation
Tc3Ir,mp-862770,0.0,-0.25385454499999505,0.0,8,113.5721768842212,14.217959811902192,P6_3/mmc,194,hexagonal,5.495725550000272,5.4957284500569425,4.34201213,90.0,90.0,120.0000036499819,IrO4[-2],Passivation,IrO4[-2],Passivation
Mn3Ir,mp-864735,0.0,-0.150071542198276,0.0,8,111.2019112881133,10.662840967256138,P6_3/mmc,194,hexagonal,5.489371530013203,5.489363157678984,4.26126282,90.0,90.0,120.00029465593526,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-1103512,0.0,-0.33451790266666803,0.032001776916665,15,375.8845223107347,9.882734769094727,P-1,2,triclinic,3.9928825303900917,6.8136617372701345,14.602329873537782,97.23022902067747,92.4274344998318,106.85322196967077,IrO4[-2],Passivation,IrO4[-2],Passivation
Sb3Ir,mp-1239,0.053699999999999005,-0.415732231875004,0.0,16,405.6802607522815,9.127834283044729,Im-3,204,cubic,8.077344428345341,8.077343672417616,8.0773434,109.47122250934765,109.47122061356146,109.47120816112052,IrO4[-2],Passivation,IrO4[-2],Passivation
P3Ir,mp-13853,0.084900000000001,-0.733284737232143,0.0,16,260.21569759251463,7.278319758061882,Im-3,204,cubic,6.966026731905096,6.966025984505351,6.9660273,109.47122149378546,109.47121932035644,109.47122412205427,IrO4[-2],Passivation,IrO4[-2],Passivation
As3Ir,mp-540912,0.026799999999999,-0.508268478749997,0.0,16,309.087375814539,8.96076155988533,Im-3,204,cubic,7.37736141594538,7.377361110971877,7.37736139,109.47122417396687,109.47122333655565,109.47121484778813,IrO4[-2],Passivation,IrO4[-2],Passivation
HfIr,mp-1002122,0.0,-0.9055590749999991,0.042428189999998006,2,34.71344804869957,17.73299658675499,Pm-3m,221,cubic,3.26211488,3.26211488,3.26211488,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
ScIr,mp-1129,0.0,-1.058465942499999,0.0,2,33.336071853178986,11.814075985012227,Pm-3m,221,cubic,3.21838608,3.21838608,3.21838608,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
GaIr,mp-11388,0.0,-0.45633533000000104,0.0,2,27.77685210962619,15.659139537790393,Pm-3m,221,cubic,3.02850068,3.02850068,3.02850068,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
HoIr,mp-11476,0.0,-0.878807982499999,0.0,2,38.956265260739656,15.223663598706876,Pm-3m,221,cubic,3.38994333,3.38994333,3.38994333,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
TmIr,mp-11483,0.0,-0.9546286100000051,0.0,2,37.81727428797786,15.857983010306679,Pm-3m,221,cubic,3.35657798,3.35657798,3.35657798,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrRh3,mp-1184768,0.0,-0.011089994999998002,0.008113887500002,4,55.61437473809871,14.956918070838826,Pm-3m,221,cubic,3.81706029,3.81706029,3.81706029,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Re3Ir,mp-1186902,0.0,-0.104851926874999,0.0,4,58.499874394575855,21.312795020349895,Pm-3m,221,cubic,3.88196526,3.88196526,3.88196526,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
LuIr,mp-1529,0.0,-1.011689813333335,0.0,2,36.87485556230985,16.534935997245196,Pm-3m,221,cubic,3.32846077,3.32846077,3.32846077,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
MnIr,mp-1537768,0.0,-0.46865412974138104,0.0,4,55.7622632918511,14.720012549768832,P4/mmm,123,tetragonal,3.04853835,4.27685341,4.27685341,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
AlIr,mp-1885,0.0,-1.070602759999999,0.0,2,26.853247635479867,13.554700780623982,Pm-3m,221,cubic,2.99455485,2.99455485,2.99455485,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
ErIr,mp-2713,0.0,-0.921583655000002,0.0,2,38.338578497893536,15.569798487387807,Pm-3m,221,cubic,3.37193092,3.37193092,3.37193092,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
YIr,mp-30746,0.0,-0.7990102449999991,0.0,2,39.87318848323501,11.707503028888897,Pm-3m,221,cubic,3.41633399,3.41633399,3.41633399,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
YbIr,mp-568705,0.0,-1.137921757500002,0.0,2,37.378829055486136,16.226391601212985,Pm-3m,221,cubic,3.343555712728405,3.343555712728405,3.343555712728405,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
V3Ir,mp-2006,0.0,-0.5584554099999971,0.0,8,108.03490569104167,10.606847605102757,Pm-3n,223,cubic,4.76271615,4.76271615,4.76271615,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Nb3Ir,mp-1458,0.0,-0.40266292874999904,0.0,8,138.35746573789768,11.304165686660246,Pm-3n,223,cubic,5.17210738,5.17210738,5.17210738,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Ti3Ir,mp-544,0.0,-0.5762831700000001,0.0,8,124.97952086848798,8.92368452675162,Pm-3n,223,cubic,4.99972693,4.99972693,4.99972693,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Ta3Ir,mp-1187196,0.0,-0.35776946549999805,0.0,4,67.14468287510205,18.17860859229121,Fm-3m,225,cubic,4.56221283097684,4.56221283097684,4.56221283097684,59.99999999999999,59.99999999999999,59.99999999999999,IrO4[-2],Passivation,IrO4[-2],Passivation
Sn2Ir,mp-2083,0.0,-0.310802113333333,0.0,3,64.52897027550146,11.055949287752366,Fm-3m,225,cubic,4.50218315429021,4.502184315981303,4.50218407,60.00001657578841,60.00000804028314,59.999992558067646,IrO4[-2],Passivation,IrO4[-2],Passivation
Sc2Ir,mp-1190979,0.0,-0.764449786249999,0.034591713511905,24,464.24680383215735,8.073049596874181,Fd-3m,227,cubic,8.691365177812754,8.691363721172845,8.691365906132708,59.99999168394101,59.999997227980884,59.99999999999931,IrO4[-2],Passivation,IrO4[-2],Passivation
Zr2Ir,mp-1191706,0.0,-0.7237841691666631,0.048450425555557,24,488.609260921449,10.186395046453415,Fd-3m,227,cubic,8.840813532448559,8.840813532448559,8.84081645987039,59.999989046444696,59.999989046444696,59.99997809288816,IrO4[-2],Passivation,IrO4[-2],Passivation
IrO3,mp-1022963,0.0,-0.9383537137499991,0.043843853749999,8,98.92692878331474,8.064269838293201,Amm2,38,orthorhombic,5.154078538792276,5.154078538792276,3.72409151,90.0,90.0,90.34519068684878,IrO4[-2],Passivation,IrO4[-2],Passivation
UIr,mp-1105762,0.0,-0.49696431249999506,0.0,16,330.5246240843849,17.29227028162275,P2_1,4,monoclinic,10.630335,5.597811,5.6144710850039115,81.61245020752676,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrF4,mp-13841,0.0,-1.507181853999998,0.000970868833329,10,127.17834545466121,7.003931353862454,Fdd2,43,orthorhombic,5.413633377343892,5.413490188904252,5.63182490231047,105.24487335646207,105.24659936923662,116.9430191851076,IrO4[-2],Passivation,IrO4[-2],Passivation
IrCl3,mp-729507,1.675999999999999,-0.59548690375,0.029280106249998,16,387.8868862487291,5.112800972923183,P1,1,triclinic,11.729417615335597,11.183476384456222,6.223688774403247,79.14099633750277,69.45267176420975,31.40633189828748,IrO4[-2],Passivation,IrO4[-2],Passivation
HfIr,mp-1018055,0.0,-0.9288918700000011,0.019095394999997,4,69.31410471220437,17.76185260757469,Pmma,51,orthorhombic,4.92946538,4.6366973,3.03258549,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
NbIr,mp-1095683,0.0,-0.514279890833334,0.005338089166665,12,192.66004948395292,14.74488912130605,Pmma,51,orthorhombic,2.86964823,4.85902046,13.81701652,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
MoIr,mp-11481,0.0,-0.35044142250000404,0.0,4,59.17711361771188,16.171655782516606,Pmma,51,orthorhombic,2.76093025,4.44589412,4.8210232699999995,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
TaIr,mp-571499,0.0,-0.6471931228333381,0.0,12,190.92577023092227,19.473165747304925,Pmma,51,orthorhombic,2.86185079,4.83237205,13.80566086,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrW,mp-30744,0.0,-0.295725192499993,0.0,4,59.80093263139563,20.884535149893452,Pmma,51,orthorhombic,2.7729614,4.46946766,4.82512239,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Dy3Ir,mp-1105615,0.0,-0.5746463443749971,0.0,16,424.9840477236151,10.623425879422097,Pnma,62,orthorhombic,6.412380260000086,7.195118570000078,9.21118288,90.0,90.0,89.999982177125,IrO4[-2],Passivation,IrO4[-2],Passivation
Ce3Ir,mp-1106033,0.0,-0.405546455624997,0.033640848124999005,16,428.448000256962,9.496490708060438,Pnma,62,orthorhombic,6.168503,7.08027,9.809989,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Pr3Ir,mp-1106395,0.0,-0.475658411874995,0.0033311404166620003,16,491.9713811532701,8.302367574262814,Pnma,62,orthorhombic,6.63348854,7.4010739,10.02081665,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Tb3Ir,mp-1106276,0.0,-0.5630431543749971,0.0,16,432.3149207908475,10.278517269556202,Pnma,62,orthorhombic,6.40424079,7.22162709,9.34754391,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
SiIr,mp-1128,0.0,-0.7411240462499961,0.0,8,113.34210324048406,12.910327133897084,Pnma,62,orthorhombic,3.23541299,5.55681317,6.30428368,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Tm3Ir,mp-1188237,0.0,-0.6270144081250041,0.0,16,404.29019037905783,11.484319249467537,Pnma,62,orthorhombic,6.34778195,7.12377753,8.9404804,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
La3Ir,mp-1188506,0.0,-0.48856958375000004,0.00018081625000200002,16,509.0900150955979,7.944824579386637,Pnma,62,orthorhombic,6.72577889,7.39001873,10.24251136,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Er3Ir,mp-1189478,0.0,-0.6160006837499961,0.0,16,410.1546537856842,11.238728010026769,Pnma,62,orthorhombic,6.36514217,7.14463464,9.01902333,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Ho3Ir,mp-1189120,0.0,-0.588374050624995,0.0,16,418.1969443100168,10.911639333256074,Pnma,62,orthorhombic,6.39435358,7.1729161,9.11776631,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Lu3Ir,mp-1189562,0.0,-0.65613723,0.0,16,403.24612834881736,11.812165034174727,Pnma,62,orthorhombic,6.235124,7.161365,9.030864,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Nd3Ir,mp-1189686,0.0,-0.515556566249998,0.001531630937499,16,479.0426306945629,8.665134995552137,Pnma,62,orthorhombic,6.57892157,7.35462087,9.90054643,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Y3Ir,mp-1207785,0.0,-0.5368546843750001,0.0,16,435.4065992209914,7.001076700729533,Pnma,62,orthorhombic,6.4582236,7.26137832,9.28459289,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrSe2,mp-1361,0.0517,-0.423941923958333,0.0,24,476.9405361681865,9.752430302247923,Pnma,62,orthorhombic,3.765842209999999,5.98587002,21.1580108,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
GeIr,mp-208,0.0,-0.36219304874999303,0.0,8,125.36730444152096,14.03253894695099,Pnma,62,orthorhombic,3.58522762,5.571492969999999,6.27618834,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrS2,mp-2833,0.5371,-0.502745337291661,0.0,24,405.32579294529916,8.401620928439797,Pnma,62,orthorhombic,3.58569476,5.66252955,19.96275345,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrF6,mp-560553,0.7714000000000001,-1.533848953214284,0.0,28,389.7484318339272,5.218436720033019,Pnma,62,orthorhombic,4.929218340001359,8.50097651,9.301168340002896,90.0,90.00008775761975,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-569322,0.0,-0.34847975833333,0.018039921249993002,12,293.9666443908508,10.109356578199527,Pnma,62,orthorhombic,4.02012133,5.41776416,13.49704819,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Te2Ir,mp-569388,0.0,-0.36651967958333304,0.0,24,593.9126308248906,10.00757847536029,Pnma,62,orthorhombic,4.03816051,6.44207318,22.83038999,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Ca5Ir,mp-570356,0.0,-0.23718706999999903,0.0,24,819.3765959352181,3.182611095092445,Pnma,62,orthorhombic,6.7857951900028874,7.660315650002566,15.76290078,90.0,90.0,89.99990024693362,IrO4[-2],Passivation,IrO4[-2],Passivation
In3Ir,mp-636498,0.0,-0.275391854375001,0.0,16,335.7871832457927,10.615809130022292,Pnma,62,orthorhombic,5.34121561,7.5242889900000005,8.35523248,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
Sm3Ir,mp-7342,0.0,-0.5655428612500011,0.001494981874998,16,458.0416353924936,9.328582533867062,Pnma,62,orthorhombic,6.48690091,7.28287484,9.69538024,90.0,90.0,90.0,IrO4[-2],Passivation,IrO4[-2],Passivation
IrO3,mp-1097041,0.0,-0.9821975675000001,0.0,32,371.9455709356828,8.579464419757443,Cmcm,63,orthorhombic,7.065819520497481,7.286947711207673,7.223891230095114,90.00042254613966,90.00032071963756,90.00037836772613,IrO4[-2],Passivation,IrO4[-2],Passivation
VIr,mp-1204410,0.0,-0.584126941562502,0.024456955937502002,32,439.31467462133145,14.705602592452088,Cmcm,63,orthorhombic,6.608320318068271,6.608320318068271,11.094042780166989,90.0005250594105,89.9994749405895,114.93540145731365,IrO4[-2],Passivation,IrO4[-2],Passivation
