formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Y,mp-1187739,0.0,0.042620386666664005,0.042620386666666,3,100.68328614538838,4.3988920949927195,R-3m,166,trigonal,3.649440693065455,3.649440693065455,8.9762917063959,78.26111433790268,101.73888566209732,119.95170287361744,Y[+3],Passivation,Y[+3],Passivation
Y,mp-112,0.0,0.0,0.0,2,67.55562608311241,4.370668906025714,P6_3/mmc,194,hexagonal,3.64256962,3.642569164109011,5.87915835,90.0,90.0,119.99998493618033,Y[+3],Passivation,Y[+3],Passivation
Y,mp-1187717,0.0,0.043754524999997005,0.043754524999997005,4,136.09540898160526,4.339062964107292,P6_3/mmc,194,hexagonal,3.64254336,3.6425449204472935,11.84413035,90.0,90.0,119.9999957697854,Y[+3],Passivation,Y[+3],Passivation
YP5,mp-9854,0.1371,-0.6391986149801591,0.0,12,244.7058683423263,3.308440039622174,P2_1/m,11,monoclinic,4.968643830916783,5.359124017348125,9.40489714,90.0,90.0,102.2734444846292,Y[+3],Passivation,Y[+3],Passivation
YCl3,mp-27455,4.9300999999999995,-2.531578373124999,0.0,8,255.57664117885483,2.537359519737013,C2/m,12,monoclinic,6.582613042067159,6.910142093785871,6.910143585252134,119.93373655342933,99.96943954237977,99.96944832967246,Y[+3],Passivation,Y[+3],Passivation
YBr3,mp-754815,3.976499999999999,-2.30537281125,0.0,8,292.4847002362033,3.731359469171679,C2/m,12,monoclinic,7.1594163504479775,7.1594163504479775,6.987550800681811,80.23502572357049,99.76497427642951,60.19911486492429,Y[+3],Passivation,Y[+3],Passivation
YMg3,mp-1100166,0.0,-0.024711438749998003,0.032785405000000004,4,100.76792831774772,2.666620696697326,P4/mmm,123,tetragonal,4.88666019,4.88666019,4.21986007,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YIn,mp-1215997,0.0,-0.601433850000002,0.002152184999999,2,52.641915945855,6.426274683298173,P4/mmm,123,tetragonal,3.5424350135586775,3.5424350135586775,4.19496077,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YGa6,mp-30681,0.0,-0.304411769285714,0.025145816071428,14,263.6675960364408,6.3890917342848494,P4/nbm,125,tetragonal,5.92390433,5.92390433,7.51347226,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YB4,mp-637,0.0,-0.6594823535000001,0.0,20,202.83094577640173,4.327544551554532,P4/mbm,127,tetragonal,4.0189614,7.10411839,7.10411839,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YSe2,mp-1232214,0.0,-1.790772361041665,0.041849073072917006,6,137.76024678280822,5.9503953592350936,P4/nmm,129,tetragonal,4.07015748,4.07015748,8.31575118,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YAu2,mp-1018113,0.0,-0.9331089233333311,0.0,3,62.583572247190645,12.811237416822268,I4/mmm,139,tetragonal,3.7228163479868295,3.7228163479868295,5.224856547967445,110.82867087345099,110.82867087345099,90.04373942087807,Y[+3],Passivation,Y[+3],Passivation
YFe12,mp-1104222,0.0,0.0039046853846160003,0.020264779230767003,13,168.33230101729703,7.487720892831424,I4/mmm,139,tetragonal,4.694658,6.4316475775878,6.4316475775878,82.34546626789528,68.59454500438147,68.59454500438147,Y[+3],Passivation,Y[+3],Passivation
Pr3Y,mp-1186735,0.0,0.044607141250001,0.044607141250001,4,142.14659099310725,5.976784979942813,I4/mmm,139,tetragonal,6.364139627152831,6.364139627152831,6.364139627152831,131.36119509687003,131.36119509687003,71.2398404911813,Y[+3],Passivation,Y[+3],Passivation
Tb3Y,mp-1187322,0.0,0.047192294999998004,0.047192294999998004,4,129.29435910549117,7.265103448574353,I4/mmm,139,tetragonal,6.190183645863396,6.190183645863396,6.190183645863396,131.7626044703507,131.7626044703507,70.60422671458466,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-2043365,0.0,-0.05610504,0.046330761666666005,6,155.5645925257926,2.935763691391987,C2/m,12,monoclinic,6.880212795862967,6.880212795862967,6.97263286986105,75.47023683779652,75.47023683779652,29.209195171305684,Y[+3],Passivation,Y[+3],Passivation
YZn12,mp-30886,0.0,-0.20492847692307803,0.0,13,196.37761493961617,7.388836224064127,C2/m,12,monoclinic,5.074983884456341,6.718008996674711,6.71800768601867,81.76325239482608,67.81225833441555,67.81224979108515,Y[+3],Passivation,Y[+3],Passivation
Pm3Y,mp-982448,0.0,0.038133759375,0.038133759375,4,136.59445940072004,6.368970856959177,I4/mmm,139,tetragonal,6.271067559688991,6.271067559688991,6.271067559688991,131.20899684976584,131.2089968497658,71.4812365995091,Y[+3],Passivation,Y[+3],Passivation
YAg2,mp-999544,0.0,-0.32084362999999805,0.0,3,63.769426372000275,7.932803950766604,I4/mmm,139,tetragonal,3.71994312,3.71994312,5.306159454847839,110.51976387874075,110.51976387874075,90.0,Y[+3],Passivation,Y[+3],Passivation
YSi2,mp-12769,0.0,-0.560288173333335,0.038530698333332,6,115.20707728270955,4.182135034866017,C2/c,15,monoclinic,3.9681053737182066,3.9694574726400824,7.872018853318179,105.16199949873827,105.1564804964959,89.9754015434053,Y[+3],Passivation,Y[+3],Passivation
YI3,mp-571442,3.0417,-1.710965791249998,0.0,8,362.44901402796,4.303066624414245,R-3,148,trigonal,8.44559988127135,8.445598764451693,8.445598872989907,53.62456998815307,53.6245715071522,53.624573411571276,Y[+3],Passivation,Y[+3],Passivation
LaY,mp-1222780,0.0,0.007874764166662001,0.007874764166665,6,214.4957036180984,5.290869564649805,R3m,160,trigonal,3.7158815371875678,3.715326496653327,18.06828212351272,84.11454329188142,89.9999976633173,120.0049453293317,Y[+3],Passivation,Y[+3],Passivation
PrY,mp-1219744,0.0,0.017228925833331,0.017228925833336,6,210.74826748972595,5.432276611251614,R3m,160,trigonal,3.6907054369113723,3.69070532,17.9921012541527,84.11312923575912,90.0000047597726,119.99999895212527,Y[+3],Passivation,Y[+3],Passivation
YF3,mp-1191736,7.4289,-4.4420722320833335,0.026961792291666002,24,274.77051141099304,5.290401973923945,P-3c1,165,trigonal,6.759373080637825,6.759317987237995,6.94432009035886,90.00061957200936,90.00055688841493,119.99989403347833,Y[+3],Passivation,Y[+3],Passivation
YH3,mp-23706,0.004299999999999,-0.7152201090624991,0.00021078958333400002,24,228.1410234428065,4.014695983502023,P-3c1,165,trigonal,6.32127165,6.321271384988324,6.59270844,90.0,90.0,120.00000133449713,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-1094418,0.0,-0.05248976666666601,0.010633956666666,6,155.76802280347545,2.931929636030672,R-3m,166,trigonal,6.035640167541634,6.035640167541634,6.035640047601663,60.0837343314593,60.0837343314593,60.08373951717473,Y[+3],Passivation,Y[+3],Passivation
YIr3,mp-1095497,0.0,-0.5848217075000021,0.015700779999995,12,211.50236994692332,15.67618108599326,R-3m,166,trigonal,5.284237330823379,5.284237330823379,9.263040809372141,73.42726840508847,73.42726840508847,60.00000512295454,Y[+3],Passivation,Y[+3],Passivation
YFe3,mp-1102392,0.0,-0.050310542499998,0.0,12,185.94496937970825,6.870259267313855,R-3m,166,trigonal,5.146934850219109,5.146934850219109,8.632633644849873,72.65592460021662,72.65592460021662,60.000014779455455,Y[+3],Passivation,Y[+3],Passivation
Nd2Y,mp-1220274,0.0,0.041945528333333,0.041945528333336,3,104.46889446495206,5.9986333010688995,R-3m,166,trigonal,9.09077381972909,9.09077381972909,9.090773867900975,23.449507219445785,23.449507219445785,23.44950353707133,Y[+3],Passivation,Y[+3],Passivation
YAl3,mp-2451,0.0,-0.46262733500000003,0.011892777500001001,12,232.79255952331226,3.6346952134378183,R-3m,166,trigonal,7.851894181881171,7.851894073998754,7.851894898557366,46.52590791584576,46.5259114282168,46.52590212761436,Y[+3],Passivation,Y[+3],Passivation
YCl,mp-540884,0.0,-1.7067246037500001,0.037110218333332,4,114.11227938768486,3.6192902255659503,R-3m,166,trigonal,9.625535350112287,9.625535350112287,9.625535604866704,22.45433794262689,22.45433794262689,22.45433781803834,Y[+3],Passivation,Y[+3],Passivation
YNi3,mp-569196,0.0,-0.38444531666666504,0.0,12,169.48154134841906,7.788807287711017,R-3m,166,trigonal,8.52210873529352,8.522104714857733,8.522106998378522,33.669909470219885,33.66990709063875,33.66990347710958,Y[+3],Passivation,Y[+3],Passivation
YCo,mp-865373,0.0,-0.16334084750000002,0.0,4,91.54622462870505,5.363247054414503,R-3m,166,trigonal,3.875240403223941,3.8752368314503305,7.383402224076338,105.19577087083849,74.80431413397005,119.97121255638395,Y[+3],Passivation,Y[+3],Passivation
YH3,mp-1178678,0.0,-0.7154308986458331,0.0,24,229.25409838954417,3.995203823713405,P6_3cm,185,hexagonal,6.3322875800000205,6.332288229013441,6.60184352,90.0,90.0,120.00001240346114,Y[+3],Passivation,Y[+3],Passivation
YMg15,mp-1023510,0.0,0.029271707812499003,0.043645918749999006,16,373.73505396108527,2.014856940495558,P-6m2,187,hexagonal,6.47979256305361,6.47979256305361,10.2780573,90.0,90.0,120.00000881188176,Y[+3],Passivation,Y[+3],Passivation
YMg149,mp-1188082,0.2723,0.004170051166667001,0.005703300333333001,150,3447.955135780113,1.7869091373265582,P-6m2,187,hexagonal,15.972037395961346,15.97204294,15.60667032,90.0,90.0,120.0000158204932,Y[+3],Passivation,Y[+3],Passivation
YHo,mp-1215900,0.0,-0.003606287499998,0.0,2,65.48908729296201,6.436261279921932,P-6m2,187,hexagonal,3.6110468274252177,3.6110468274252177,5.79925455,90.0,90.0,120.00002432029943,Y[+3],Passivation,Y[+3],Passivation
YEr,mp-1215904,0.0,0.0022963833333300003,0.0022963833333300003,2,64.8611105899064,6.558193916909661,P-6m2,187,hexagonal,3.598844735118148,3.598844735118148,5.78266011,90.0,90.0,120.00003152992213,Y[+3],Passivation,Y[+3],Passivation
Nd3Y,mp-1220208,0.0,0.011857426875003001,0.011857426875003001,4,138.8578705395968,6.237961607374842,P-6m2,187,hexagonal,3.6807362537941133,3.68073853,11.83505762,90.0,90.0,59.99996029277327,Y[+3],Passivation,Y[+3],Passivation
YTe,mp-865430,0.0,-1.510585778333334,0.0,2,59.39180146539537,6.053300509530963,P-6m2,187,hexagonal,4.109095130001185,4.109092574428175,4.06166601,90.0,90.0,120.0001058589572,Y[+3],Passivation,Y[+3],Passivation
PmY,mp-984695,0.0,0.022426591249999003,0.022426591249999003,2,69.843117836769,5.561175014251737,P-6m2,187,hexagonal,3.6875056001506685,3.6873310933701493,5.931339520981682,89.99885594936761,89.99908940749987,120.0010560984158,Y[+3],Passivation,Y[+3],Passivation
YFe5,mp-11385,0.0,-0.035446869999998,0.0,6,89.68205826378515,6.8162536618822696,P6/mmm,191,hexagonal,5.141883270209175,5.141850347516989,3.9167853900000003,90.0,90.0,119.99919711145574,Y[+3],Passivation,Y[+3],Passivation
YCd2,mp-1331,0.0,-0.29284685666666704,0.0,3,73.27757605434395,7.109369322193102,P6/mmm,191,hexagonal,4.90301252,4.9030121719948125,3.51977149,90.0,90.0,119.99999534931469,Y[+3],Passivation,Y[+3],Passivation
YB2,mp-1542,0.0,-0.628652464999999,0.0,3,36.4457646728228,5.035861217892497,P6/mmm,191,hexagonal,3.30083792,3.3008372211663275,3.86249662,90.0,90.0,119.99999660781393,Y[+3],Passivation,Y[+3],Passivation
YGa2,mp-1914,0.0,-0.649560048333333,0.0,3,62.57742693676097,6.059488004174083,P6/mmm,191,hexagonal,4.1739726600000004,4.17397426155013,4.14751298,90.0,90.0,120.00001153732543,Y[+3],Passivation,Y[+3],Passivation
YNi5,mp-2152,0.0,-0.311606001666666,0.0,6,79.34076485400149,8.002759446554021,P6/mmm,191,hexagonal,4.84287833001309,4.842870910085049,3.90625613,90.0,90.0,120.00032358486685,Y[+3],Passivation,Y[+3],Passivation
YCu5,mp-2797,0.0,-0.192909463333334,0.0,6,87.42257476500421,7.723802651891214,P6/mmm,191,hexagonal,5.00270152,5.002701360763022,4.03351611,90.0,90.0,120.00000105293451,Y[+3],Passivation,Y[+3],Passivation
YCo5,mp-2827,0.0,-0.07648426833333301,0.011988457820512001,6,83.28558015265057,7.647614378048947,P6/mmm,191,hexagonal,4.92755541580488,4.92755541580488,3.960738,90.0,90.0,119.99999215634621,Y[+3],Passivation,Y[+3],Passivation
YHg2,mp-30725,0.0,-0.474424555000003,0.0,3,72.06360080269253,11.29289531536233,P6/mmm,191,hexagonal,4.88158714,4.881587413640281,3.49191129,90.0,90.0,119.9999981456959,Y[+3],Passivation,Y[+3],Passivation
YZn5,mp-30885,0.0,-0.332843220833332,0.0,6,99.4324038904051,6.946454165704095,P6/mmm,191,hexagonal,5.24561156,5.245610720522351,4.17258454,90.0,90.0,120.00000529389224,Y[+3],Passivation,Y[+3],Passivation
YH3,mp-1084805,0.0,-0.7068633590625001,0.008567539583333,8,76.86820439862647,3.97180627826331,P6_3/mmc,194,hexagonal,3.6638837069669408,3.6638837069669408,6.61199897,90.0,90.0,120.00000770982574,Y[+3],Passivation,Y[+3],Passivation
YZn2,mp-1095495,0.0,-0.36316034166666805,0.033142418333332,12,226.035998488727,6.45667131303344,P6_3/mmc,194,hexagonal,5.5089924118639,5.5089924118639,8.60008179,90.0,90.0,119.99998885368011,Y[+3],Passivation,Y[+3],Passivation
YTc2,mp-1102030,0.0,-0.17548198416666502,0.0,12,220.01606383186768,8.601140952860822,P6_3/mmc,194,hexagonal,5.351846628162103,5.351851341894769,8.869673560003912,90.00006885822197,90.00003944179774,119.99807541563756,Y[+3],Passivation,Y[+3],Passivation
YMg2,mp-11499,0.0,-0.051695309166666,0.011428414166666,12,312.00912834979016,2.9274841080380742,P6_3/mmc,194,hexagonal,6.04798183,6.047977713331438,9.84954361,90.0,90.0,120.00002257103435,Y[+3],Passivation,Y[+3],Passivation
Ac3Y,mp-1183102,0.0,0.047490509375002,0.047490509375002,8,342.2871293814086,7.470095319326484,P6_3/mmc,194,hexagonal,7.922183265268615,7.922185312896666,6.29752667,90.0,90.0,119.99999080605839,Y[+3],Passivation,Y[+3],Passivation
Dy3Y,mp-1184145,0.0,0.014584476250004001,0.014645897083337002,8,258.68315389060666,7.400129600604313,P6_3/mmc,194,hexagonal,7.296907460402489,7.296907460402489,5.60996122,90.0,90.0,120.00000471837576,Y[+3],Passivation,Y[+3],Passivation
Nd3Y,mp-1186291,0.0,0.028703814375003002,0.028703814375003002,8,284.78419614915646,6.083132961873781,P6_3/mmc,194,hexagonal,7.462685183278279,7.462685183278279,5.9046613,90.0,90.0,119.99999541907057,Y[+3],Passivation,Y[+3],Passivation
Pm3Y,mp-1186543,0.0,0.029007003124998,0.029007003124998,8,277.54200492345893,6.269077225879379,P6_3/mmc,194,hexagonal,7.425524685861815,7.425524147201642,5.81224448,90.0,90.0,120.00001030439306,Y[+3],Passivation,Y[+3],Passivation
YTm3,mp-1187880,0.0,0.015299426249995002,0.015688073749998,8,247.67965196113468,7.987714739684205,P6_3/mmc,194,hexagonal,7.190859930140741,7.190825640956861,5.53092451,90.0,90.0,119.99945649883247,Y[+3],Passivation,Y[+3],Passivation
YHo3,mp-1187851,0.0,0.015036158750003002,0.016839302500002002,8,254.7612716896448,7.609094974494857,P6_3/mmc,194,hexagonal,7.2621674901098485,7.262151569351688,5.577937820032462,90.000189720815,89.99961217750021,120.00056261140013,Y[+3],Passivation,Y[+3],Passivation
YEr3,mp-1187847,0.0,0.024628425000003003,0.024628425000003003,8,250.84013861409173,7.820534255920118,P6_3/mmc,194,hexagonal,7.220765521889532,7.220735157794326,5.55537996,90.0,90.0,120.00274790726411,Y[+3],Passivation,Y[+3],Passivation
YFe3,mp-1192321,0.0,-0.049700864166665006,0.0006096783333330001,24,369.4411233755679,6.915798314053175,P6_3/mmc,194,hexagonal,5.157035739165332,5.1571909554930455,16.0404547,90.0,90.0,120.00352426918748,Y[+3],Passivation,Y[+3],Passivation
YRh3,mp-1191413,0.0,-0.55239286583333,0.0,24,411.62850105865607,9.624223457270448,P6_3/mmc,194,hexagonal,5.229366434590528,5.229366434590528,17.38107637,90.0,90.0,120.00000271489773,Y[+3],Passivation,Y[+3],Passivation
YCo3,mp-1192425,0.0,-0.076506387916667,0.040712380160255,24,349.6102060780718,7.572105974393418,P6_3/mmc,194,hexagonal,5.011340391905188,5.011338928918142,16.07480262,90.0,90.0,119.99996739661043,Y[+3],Passivation,Y[+3],Passivation
YZn5,mp-1202791,0.0,-0.319605176944444,0.013238043888888001,36,601.111455026917,6.89425527097514,P6_3/mmc,194,hexagonal,8.79780268668064,8.79780268668064,8.96759424,90.0,90.0,120.00000275743801,Y[+3],Passivation,Y[+3],Passivation
YHg3,mp-30726,0.0,-0.409519776875001,0.0,8,187.98806969630343,12.201776773759956,P6_3/mmc,194,hexagonal,6.61992348,6.61992372219229,4.95328959,90.0,90.0,120.00000397325276,Y[+3],Passivation,Y[+3],Passivation
YRu2,mp-568186,0.0,-0.300215128333331,0.0,12,212.01859482785738,9.11793617893185,P6_3/mmc,194,hexagonal,5.230643590000099,5.230632024738621,8.94817081,90.0,90.0,120.00005545452079,Y[+3],Passivation,Y[+3],Passivation
YRe2,mp-570923,0.0,-0.255498969999995,0.0,12,223.78193914054674,13.69260872553149,P6_3/mmc,194,hexagonal,5.41226486,5.412264902634579,8.82137559,90.0,90.0,119.9999997394177,Y[+3],Passivation,Y[+3],Passivation
YOs2,mp-570670,0.0,-0.363714353333335,0.0,12,215.43005497022472,14.471524515196155,P6_3/mmc,194,hexagonal,5.27752988,5.277530087098909,8.9312915,90.0,90.0,120.00000509529116,Y[+3],Passivation,Y[+3],Passivation
YAl3,mp-865527,0.0,-0.47452011250000004,0.0,8,156.22186005953927,3.610804964601175,P6_3/mmc,194,hexagonal,6.265847680001368,6.265848686134079,4.59464322,90.0,90.0,120.00008153754307,Y[+3],Passivation,Y[+3],Passivation
YLu3,mp-865596,0.0,-0.014943936249991002,0.003875087250008,8,244.3312110252046,8.343185051921532,P6_3/mmc,194,hexagonal,7.041795616102751,7.041930215334069,5.6892018,90.0,90.0,119.99500791202149,Y[+3],Passivation,Y[+3],Passivation
YGa3,mp-865598,0.0,-0.5767257743749991,0.0,8,153.4068015243223,6.452972466379977,P6_3/mmc,194,hexagonal,6.28500897000076,6.285003313185553,4.48438481,90.0,90.0,120.00006904817461,Y[+3],Passivation,Y[+3],Passivation
YMg3,mp-971794,0.0,-0.048872288749997,0.008624555,8,199.97032273299487,2.687497220017056,P6_3/mmc,194,hexagonal,6.68493068,6.6849310896565735,5.16703123,90.0,90.0,120.00000310593423,Y[+3],Passivation,Y[+3],Passivation
Pr3Y,mp-975586,0.0,0.046958105000001006,0.046958105000001006,8,289.2321034966214,5.874725521315459,P6_3/mmc,194,hexagonal,7.524827985860802,7.5235041536813165,5.89937312,90.0,90.0,120.00154062003263,Y[+3],Passivation,Y[+3],Passivation
Sm3Y,mp-979234,0.0,0.015621406250001002,0.015621406250001002,8,278.55247070015207,6.438051668200249,P6_3/mmc,194,hexagonal,7.387303470000001,7.387302964881513,5.89392422,90.0,90.0,120.00000345977979,Y[+3],Passivation,Y[+3],Passivation
Yb3Y,mp-980944,0.0,0.0025641474999950004,0.0025641474999950004,8,244.916405884658,8.244859496290019,P6_3/mmc,194,hexagonal,7.158139223087608,7.158139223087608,5.519337387110067,90.0,90.0,119.99999511197075,Y[+3],Passivation,Y[+3],Passivation
YFe2,mp-1178900,0.0,-0.045239076354166005,0.0029920136458320003,96,1531.5643490676005,6.9596239055968,I-43m,217,cubic,12.577250566094442,12.577250566094442,12.577250566094442,109.47122063449069,109.47122063449069,109.47122063449069,Y[+3],Passivation,Y[+3],Passivation
YAl,mp-11229,0.0,-0.43783409500000103,0.030594507500000003,2,46.612727891978984,4.128390351719135,Pm-3m,221,cubic,3.59888669,3.59888669,3.59888669,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YAl3,mp-11231,0.0,-0.43952992750000003,0.034990184999999,4,76.22667219824741,3.700060960389031,Pm-3m,221,cubic,4.24003056,4.24003056,4.24003056,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YAu,mp-11261,0.0,-0.928670779999997,0.042603579999997004,2,46.138824253920745,10.288565595006578,Pm-3m,221,cubic,3.5866487,3.5866487,3.5866487,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YSn3,mp-11571,0.0,-0.42316383375000105,0.023755627499997004,4,103.84485406570023,7.116379734088602,Pm-3m,221,cubic,4.70032975,4.70032975,4.70032975,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YTl,mp-11575,0.0,-0.462708765000002,0.0,2,53.907474822444954,9.034333234658066,Pm-3m,221,cubic,3.77760313,3.77760313,3.77760313,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
Pr3Y,mp-1186734,0.0,0.045268601250000005,0.045268601250000005,4,142.11124604446456,5.9782714855083094,Pm-3m,221,cubic,5.21846549,5.21846549,5.21846549,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YRh,mp-191,0.0,-0.8306932600000001,0.0,2,39.926285926991035,7.9774572740051966,Pm-3m,221,cubic,3.41784978,3.41784978,3.41784978,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YPb3,mp-20291,0.0,-0.36249086750000004,0.015527627499999001,4,114.96526323110204,10.262427865721243,Pm-3m,221,cubic,4.8624544499999995,4.8624544499999995,4.8624544499999995,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YIn3,mp-20131,0.0,-0.52248454,0.0,4,98.9730321218083,7.270778164452664,Pm-3m,221,cubic,4.62564492,4.62564492,4.62564492,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YB6,mp-2203,0.0,-0.46235378642857305,0.011403886160714001,7,68.40629091709661,3.7327585057610193,Pm-3m,221,cubic,4.08976808,4.08976808,4.08976808,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YIn,mp-22704,0.0,-0.6035860350000021,0.0,2,53.132733730722705,6.366911468128538,Pm-3m,221,cubic,3.7594189,3.7594189,3.7594189,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YTl3,mp-2393,0.0,-0.300890697500001,0.0,4,105.88020873533299,11.01047130271788,Pm-3m,221,cubic,4.7308400299999995,4.7308400299999995,4.7308400299999995,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YAg,mp-2474,0.0,-0.3274124325,0.0,2,47.636758428570296,6.859219814632301,Pm-3m,221,cubic,3.62505055,3.62505055,3.62505055,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YHg,mp-2399,0.0,-0.585943523750003,0.0,2,50.90951433368942,9.442619416729679,Pm-3m,221,cubic,3.70623527,3.70623527,3.70623527,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YPt3,mp-2403,0.0,-1.066453867500001,0.0,4,68.93905047258248,16.23848079290389,Pm-3m,221,cubic,4.1003579,4.1003579,4.1003579,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YZn,mp-2516,0.0,-0.38715806750000104,0.0,2,45.2080528093221,5.668145851410791,Pm-3m,221,cubic,3.56236652,3.56236652,3.56236652,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YIr,mp-30746,0.0,-0.7990102449999991,0.0,2,39.87318848323501,11.707503028888897,Pm-3m,221,cubic,3.41633399,3.41633399,3.41633399,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YPd3,mp-559,0.0,-0.8816768799999971,0.0,4,68.91705443209393,9.834653340340134,Pm-3m,221,cubic,4.09992176,4.09992176,4.09992176,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YMg,mp-615,0.0,-0.07437748250000001,0.0,2,55.24437794000597,3.402899013400896,Pm-3m,221,cubic,3.8085766100000003,3.8085766100000003,3.8085766100000003,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YCu,mp-712,0.0,-0.22700687999999902,0.018895730000000003,2,41.354087469293695,6.12157753180781,Pm-3m,221,cubic,3.45811539,3.45811539,3.45811539,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YCd,mp-915,0.0,-0.315869994999999,0.0,2,52.18277029328712,6.406223592787223,Pm-3m,221,cubic,3.73687907,3.73687907,3.73687907,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
YGa3,mp-979423,0.0,-0.527090110625,0.049635663749999004,4,77.04003006279501,6.424775961178766,Pm-3m,221,cubic,4.25505797,4.25505797,4.25505797,90.0,90.0,90.0,Y[+3],Passivation,Y[+3],Passivation
Pm3Y,mp-982880,0.0,0.042442256874998,0.042442256874998,4,136.76334716910196,6.361105874877455,Pm-3m,221,cubic,5.152141230014097,5.152064730011278,5.152294170002819,89.99999999987457,89.99988011987473,89.99976023441086,Y[+3],Passivation,Y[+3],Passivation
YTe,mp-1708,0.0,-1.483786158333332,0.026799620000002,2,58.45543663437314,6.150264932946128,Fm-3m,225,cubic,4.35625508332857,4.35625508332857,4.35625508332857,60.00000000000001,60.00000000000001,60.00000000000001,Y[+3],Passivation,Y[+3],Passivation
YS,mp-1534,0.0,-2.24246193140625,0.0,2,42.1633347197335,4.764253673957937,Fm-3m,225,cubic,3.9067583060346407,3.9067592720555386,3.9067588300000002,60.00002128815597,60.00001306806565,60.00001190526099,Y[+3],Passivation,Y[+3],Passivation
YN,mp-2114,0.15100000000000002,-1.999617329374999,0.0,2,29.3532772394838,5.821847704574437,Fm-3m,225,cubic,3.4625065425207824,3.4625060717405254,3.46250559,59.99999489801061,59.99999928538613,59.99999508105699,Y[+3],Passivation,Y[+3],Passivation
YSb,mp-215,0.0,-1.386354884999999,0.0,2,59.91639570647841,5.838449890030212,Fm-3m,225,cubic,4.392248671421995,4.392248418256403,4.39224848,59.99999168649771,59.99999362920897,60.00000301346277,Y[+3],Passivation,Y[+3],Passivation
YBi,mp-23241,0.0,-1.0989856025,0.0,2,63.413989702528,7.800356953542302,Fm-3m,225,cubic,4.476101739046259,4.476102921967999,4.47610227,60.00001259359467,60.00000381610512,60.00000237594153,Y[+3],Passivation,Y[+3],Passivation
YH2,mp-24650,0.0,-0.7996299991666661,0.0,3,35.09874225272982,4.301552562217945,Fm-3m,225,cubic,3.6750970135861616,3.6750974395010054,3.67509721,60.000011156809194,60.000007323129836,59.999998166346025,Y[+3],Passivation,Y[+3],Passivation
YSe,mp-2637,0.0,-2.003811054531251,0.0,2,47.695340510603565,5.844340325257658,Fm-3m,225,cubic,4.070648657253245,4.070648050437523,4.07064944,60.00000546533983,60.00001035770013,60.00000679838944,Y[+3],Passivation,Y[+3],Passivation
YCd3,mp-571059,0.0,-0.234480048749995,0.020065075000001,4,90.83156495562386,7.7904658866849665,Fm-3m,225,cubic,5.045652441227149,5.045652698752014,5.04565139,59.99998827034215,59.99998653764019,59.999984853307645,Y[+3],Passivation,Y[+3],Passivation
YB12,mp-7817,0.0,-0.259459963846154,0.0,13,105.1105924777626,3.454044761846812,Fm-3m,225,cubic,5.297291036936215,5.297290712520358,5.29729047,60.00000145200856,60.00000347787223,60.00001118087784,Y[+3],Passivation,Y[+3],Passivation
YMg3,mp-865376,0.0,-0.05749684374999801,0.0,4,97.23687076826958,2.763456301013589,Fm-3m,225,cubic,5.16157201020693,5.16157201020693,5.16157201020693,59.99999999999999,59.99999999999999,59.99999999999999,Y[+3],Passivation,Y[+3],Passivation
